displacement_mm,coupling,coupling_drop
-1.0,0.6004,0.042199999999999904
-0.95,0.6078,0.03479999999999994
-0.9,0.6082,0.034399999999999986
-0.85,0.6098,0.03279999999999994
-0.8,0.6112,0.031399999999999983
-0.75,0.6138,0.028799999999999937
-0.7,0.615,0.027599999999999958
-0.6499999999999999,0.6168,0.025799999999999934
-0.6,0.6174,0.0252
-0.55,0.6188,0.023799999999999932
-0.5,0.6212,0.021399999999999975
-0.44999999999999996,0.6228,0.01979999999999993
-0.3999999999999999,0.625,0.01759999999999995
-0.35,0.6272,0.01539999999999997
-0.29999999999999993,0.6294,0.01319999999999999
-0.25,0.6322,0.010399999999999965
-0.19999999999999996,0.634,0.008599999999999941
-0.1499999999999999,0.6358,0.006799999999999917
-0.09999999999999998,0.638,0.0045999999999999375
-0.04999999999999993,0.6404,0.0021999999999999797
0.0,0.6426,0.0
0.050000000000000044,0.61,0.03259999999999996
0.10000000000000009,0.5866,0.05599999999999994
0.15000000000000013,0.5682,0.07439999999999991
0.20000000000000018,0.5582,0.08439999999999992
0.25,0.5504,0.09219999999999995
0.30000000000000004,0.542,0.10059999999999991
0.3500000000000001,0.5344,0.10819999999999996
0.40000000000000013,0.5302,0.11239999999999994
0.4500000000000002,0.5248,0.1177999999999999
0.5,0.5208,0.12179999999999991
0.55,0.516,0.12659999999999993
0.6000000000000001,0.5108,0.13179999999999992
0.6500000000000001,0.5066,0.1359999999999999
0.7000000000000002,0.5014,0.1412
0.75,0.4994,0.14319999999999994
0.8,0.4956,0.14699999999999996
0.8500000000000001,0.4912,0.15139999999999992
0.9000000000000001,0.4864,0.15619999999999995
0.9500000000000002,0.4834,0.15919999999999995
1.0,0.48,0.16259999999999997
