lens_pair,lens1,lens2,baseline_coupling,original_coupling,orientation,L1_tolerance_1pct_mm,L1_max_drop,L1_sensitivity_per_mm,L2_tolerance_1pct_mm,L2_max_drop,L2_sensitivity_per_mm,worse_lens,total_len_mm,z_l1_mm,z_l2_mm,z_fiber_mm
LA4148+LA4022,LA4148,LA4022,0.6778,0.28509,SfccfF,1.0,0.3239999999999999,0.3239999999999999,1.0,0.2019999999999999,0.2019999999999999,L1,67.6947666905636,27.052644818632945,33.6947666905636,93.6947666905636
LA4148+84-283,LA4148,84-283,0.6748,0.2988499999999999,SfccfF,1.0,0.3142,0.3142,1.0,0.1873999999999999,0.1873999999999999,L1,67.75834491751316,27.16731599013194,33.75834491751316,93.75834491751316
84-282+LA4022,84-282,LA4022,0.6734,0.28595,SfccfF,1.0,0.3454,0.3454,1.0,0.2269999999999999,0.2269999999999999,L1,66.25607306656826,27.00313563679821,34.59604817135848,92.25607306656826
84-282+84-283,84-282,84-283,0.6726,0.298635,SfccfF,1.0,0.3696,0.3696,1.0,0.2483999999999999,0.2483999999999999,L1,66.80891542336144,27.0192961364878,34.86034902537358,92.80891542336144
LA4148+48-670,LA4148,48-670,0.6692,0.301,SfccfF,1.0,0.3672,0.3672,1.0,0.1906,0.1906,L1,67.3578062278447,27.015621417392683,33.405529082401074,93.3578062278447
84-282+LA4725,84-282,LA4725,0.666,0.27821,SfccfF,1.0,0.3276,0.3276,1.0,0.174,0.174,L1,84.15810015190496,27.303903402354845,34.858100151904964,110.15810015190496
84-282+48-670,84-282,48-670,0.665,0.2881,SfccfF,1.0,0.358,0.358,1.0,0.2338,0.2338,L1,66.0633390143973,27.032946751980656,34.664030486411264,92.0633390143973
84-282+48-275,84-282,48-275,0.6548,0.277565,SfccfF,1.0,0.4078,0.4078,1.0,0.1648,0.1648,L1,84.01973148381288,27.32413689647099,35.112405731586406,110.01973148381288
LA4148+LA4725,LA4148,LA4725,0.6512,0.27047,SfccfF,1.0,0.3208,0.3208,1.0,0.1612,0.1612,L1,87.69539456683692,28.15407830472282,38.52045394097361,113.69539456683692
LA4148+48-275,LA4148,48-275,0.6484,0.2736949999999999,SfccfF,1.0,0.4012,0.4012,1.0,0.1691999999999999,0.1691999999999999,L1,83.81309251687466,28.177464033324767,34.81309251687466,109.81309251687466
84-282+67-223,84-282,67-223,0.648,0.2822949999999999,SfccfF,1.0,0.2782,0.2782,1.0,0.1746,0.1746,L1,84.9646312592493,27.96033745426815,35.981039111070714,110.9646312592493
84-282+LA4078,84-282,LA4078,0.6434,0.2754149999999999,SfccfF,1.0,0.2875999999999999,0.2875999999999999,1.0,0.1867999999999999,0.1867999999999999,L1,85.05317561479298,28.11086359675925,35.75317561479298,111.05317561479298
