displacement_mm,coupling,coupling_drop
-1.0,0.5036,0.08619999999999994
-0.95,0.51,0.07979999999999998
-0.9,0.519,0.07079999999999997
-0.85,0.526,0.06379999999999997
-0.8,0.5358,0.05399999999999994
-0.75,0.5412,0.04859999999999998
-0.7,0.5472,0.04259999999999997
-0.6499999999999999,0.555,0.03479999999999994
-0.6,0.5622,0.027599999999999958
-0.55,0.5644,0.025399999999999978
-0.5,0.5674,0.022399999999999975
-0.44999999999999996,0.5696,0.020199999999999996
-0.3999999999999999,0.572,0.017800000000000038
-0.35,0.5754,0.014399999999999968
-0.29999999999999993,0.5776,0.012199999999999989
-0.25,0.5788,0.01100000000000001
-0.19999999999999996,0.5804,0.009399999999999964
-0.1499999999999999,0.5828,0.007000000000000006
-0.09999999999999998,0.5854,0.0043999999999999595
-0.04999999999999993,0.588,0.0018000000000000238
0.0,0.5898,0.0
0.050000000000000044,0.5508,0.039000000000000035
0.10000000000000009,0.5348,0.05499999999999994
0.15000000000000013,0.5252,0.06459999999999999
0.20000000000000018,0.5138,0.07599999999999996
0.25,0.5046,0.08519999999999994
0.30000000000000004,0.4952,0.09460000000000002
0.3500000000000001,0.487,0.1028
0.40000000000000013,0.4802,0.10959999999999998
0.4500000000000002,0.4772,0.11259999999999998
0.5,0.4708,0.119
0.55,0.4644,0.1254
0.6000000000000001,0.4606,0.12919999999999998
0.6500000000000001,0.4556,0.13419999999999999
0.7000000000000002,0.4494,0.14039999999999997
0.75,0.4446,0.1452
0.8,0.4438,0.14600000000000002
0.8500000000000001,0.4394,0.15039999999999998
0.9000000000000001,0.4368,0.15299999999999997
0.9500000000000002,0.4334,0.15639999999999998
1.0,0.429,0.1608
