lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
84-882,84-882,12.0,12.0,9.925164329824408,23.25891183740658,35.25891183740658,9.258911837406579,0.0,SfccfF,focal_length
15-532,15-532,12.0,12.0,9.96083269114933,23.30208340423318,35.30208340423318,9.30208340423318,0.0,SfccfF,focal_length
15-532,72-494,12.0,8.3,9.719041069286645,27.185760864427,35.48576086442699,9.485760864426993,0.0,SfccfF,focal_length
84-882,72-494,12.0,8.3,9.757977937264943,27.24917525549156,35.54917525549156,9.549175255491562,0.0,SfccfF,focal_length
84-882,72-514,12.0,8.3,9.70245274112894,27.25234926372437,35.552349263724366,9.552349263724366,0.0,SfccfF,focal_length
15-532,23-813,12.0,8.3,9.777739023769833,27.2715191039002,35.5715191039002,9.5715191039002,0.0,SfccfF,focal_length
15-532,22-842,12.0,8.3,9.80785462637035,27.40009055959357,35.700090559593576,9.700090559593576,0.0,SfccfF,focal_length
15-532,72-514,12.0,8.3,9.763882090315809,27.43971224093969,35.739712240939696,9.739712240939696,0.0,SfccfF,focal_length
84-882,15-532,12.0,12.0,9.847349365897148,24.078115412793725,36.07811541279372,10.078115412793721,0.0,SfccfF,focal_length
84-882,23-813,12.0,8.3,9.90331233943089,27.787882993486704,36.0878829934867,10.087882993486701,0.0,SfccfF,focal_length
84-882,22-842,12.0,8.3,9.825281762249212,27.88327266447769,36.1832726644777,10.183272664477698,0.0,SfccfF,focal_length
84-882,72-507,12.0,16.0,9.71922421678106,23.121557266155552,39.12155726615555,13.121557266155548,0.0,SfccfF,focal_length
84-882,19-518,12.0,16.0,9.807494167994529,23.14518097737586,39.14518097737586,13.145180977375858,0.0,SfccfF,focal_length
15-532,21-199,12.0,16.0,9.755696403989692,23.240441222502326,39.24044122250233,13.240441222502326,0.0,SfccfF,focal_length
84-882,21-199,12.0,16.0,9.925758071068172,23.283883219056733,39.28388321905673,13.283883219056733,0.0,SfccfF,focal_length
15-532,72-487,12.0,16.0,9.793106322202911,23.324477401017383,39.32447740101738,13.324477401017383,0.0,SfccfF,focal_length
15-532,19-518,12.0,16.0,9.939671889490324,23.35703349284634,39.35703349284634,13.357033492846341,0.0,SfccfF,focal_length
84-882,72-487,12.0,16.0,10.223664439244509,23.596603666633754,39.59660366663376,13.596603666633762,0.0,SfccfF,focal_length
15-532,72-507,12.0,16.0,10.26066918187256,24.39275608998396,40.39275608998396,14.392756089983962,0.0,SfccfF,focal_length
84-882,36-686,12.0,27.0,9.722130175124082,23.043614288957603,50.0436142889576,24.0436142889576,0.0,SfccfF,focal_length
15-532,36-686,12.0,27.0,10.24443281784934,23.85752136655026,50.85752136655026,24.85752136655026,0.0,SfccfF,focal_length
15-532,49-959,12.0,30.0,9.799239831073372,23.109924786973693,53.10992478697369,27.109924786973693,0.0,SfccfF,focal_length
15-532,LA4021,12.0,30.0,9.870024797532745,23.25450067844024,53.25450067844024,27.254500678440237,0.0,SfccfF,focal_length
84-882,49-959,12.0,30.0,10.113672679529744,23.58531475707887,53.58531475707887,27.58531475707887,0.0,SfccfF,focal_length
84-882,LA4021,12.0,30.0,9.95316943392913,23.66910007529349,53.669100075293485,27.669100075293485,0.0,SfccfF,focal_length
84-882,49-960,12.0,35.0,9.701191052864688,23.069975899148908,58.06997589914891,32.06997589914891,0.0,SfccfF,focal_length
15-532,49-960,12.0,35.0,9.861545949860044,23.186510943917988,58.18651094391799,32.18651094391799,0.0,SfccfF,focal_length
84-882,LA4052,12.0,35.1,10.030055596974998,23.48733191381985,58.58733191381985,32.58733191381985,0.0,SfccfF,focal_length
84-882,36-689,12.0,35.0,9.812827108344296,23.65723340039933,58.657233400399335,32.657233400399335,0.0,SfccfF,focal_length
15-532,LA4052,12.0,35.1,10.153649226267882,23.687683654466085,58.787683654466086,32.787683654466086,0.0,SfccfF,focal_length
15-532,36-687,12.0,36.0,9.852884527616212,23.19055877717569,59.19055877717569,33.19055877717569,0.0,SfccfF,focal_length
15-532,36-689,12.0,35.0,10.576348974114945,24.24842105808501,59.248421058085015,33.248421058085015,0.0,SfccfF,focal_length
84-882,36-687,12.0,36.0,10.244995042879689,23.725982602786,59.725982602786,33.725982602786,0.0,SfccfF,focal_length
15-532,48-273,12.0,38.0,9.739175321013876,23.075031792010712,61.07503179201071,35.07503179201071,0.0,SfccfF,focal_length
84-882,48-273,12.0,38.0,9.808332219336888,23.381538003147064,61.38153800314706,35.38153800314706,0.0,SfccfF,focal_length
72-507,48-273,16.0,38.0,9.711876429171078,25.54610697279452,63.54610697279452,37.54610697279452,0.0,SfccfF,focal_length
