lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber
LA4647,36-683,differential_evolution,150.0,0.0004301517133771686,35.7,10.439408486951745,10.7,35.7
LA4647,36-683,differential_evolution,160.0,0.00034607544210287785,35.7,9.70331349794128,10.7,35.7
LA4647,36-683,differential_evolution,170.0,0.00024575746727674506,35.7,9.703312045131531,10.7,35.7
LA4647,36-683,differential_evolution,180.0,0.0003028240513548639,35.7,9.70331803482702,10.7,35.7
LA4647,36-683,differential_evolution,190.0,0.00018556926483287073,35.7,9.864175194518161,10.7,35.7
LA4647,36-683,differential_evolution,200.0,0.2191733440790464,38.77050931666962,9.718315116538824,13.770509316669617,38.77050931666962
LA4647,36-683,differential_evolution,210.0,0.2281435285615848,38.75422316103413,9.71831634646699,13.754223161034133,38.75422316103413
LA4647,36-683,differential_evolution,220.0,0.23378402754696098,38.75949345411654,9.70871682194948,13.759493454116537,38.75949345411654
LA4647,36-683,differential_evolution,230.0,0.24043376784058781,38.76521691541715,9.700166569650053,13.765216915417149,38.76521691541715
LA4647,36-683,differential_evolution,240.0,0.23339487860512842,38.759214829398424,9.707004784859576,13.759214829398424,38.759214829398424
LA4647,36-683,differential_evolution,250.0,0.24999779144557058,38.74607958223136,9.704022092432886,13.74607958223136,38.74607958223136
LA4647,36-683,differential_evolution,260.0,0.23699806460079342,38.93724517472,9.723472666554473,13.937245174719997,38.93724517472
LA4647,36-683,differential_evolution,270.0,0.23099831787054093,38.77441351554343,9.701521057965302,13.77441351554343,38.77441351554343
LA4647,36-683,differential_evolution,280.0,0.23499846133438668,38.737501435168106,9.702394101816555,13.737501435168106,38.737501435168106
LA4647,36-683,differential_evolution,290.0,0.24649853085379883,38.73981580170511,9.709677623003344,13.739815801705113,38.73981580170511
LA4647,36-683,differential_evolution,300.0,0.24499867745742135,38.773871462077864,9.711090858981123,13.773871462077864,38.773871462077864
LA4647,36-683,dual_annealing,150.0,0.0003558859288696115,35.7,9.912950536481876,10.7,35.7
LA4647,36-683,dual_annealing,160.0,0.00033052549813196967,35.7,9.725249307375133,10.7,35.7
LA4647,36-683,dual_annealing,170.0,0.00020410003021458675,35.7,10.255757427166554,10.7,35.7
LA4647,36-683,dual_annealing,180.0,0.00017429606235549788,35.7,10.077320553548251,10.7,35.7
LA4647,36-683,dual_annealing,190.0,0.0002405211780065214,35.7,9.700858228783641,10.7,35.7
LA4647,36-683,dual_annealing,200.0,0.21463310435094501,38.7637713955695,9.734962152282542,13.763771395569501,38.7637713955695
LA4647,36-683,dual_annealing,210.0,0.22124974540543285,38.712490765264434,9.726466854657478,13.712490765264437,38.712490765264434
LA4647,36-683,dual_annealing,220.0,0.24378290242106992,38.7676226699967,9.73283667671628,13.767622669996696,38.7676226699967
LA4647,36-683,dual_annealing,230.0,0.2331392064075245,38.748084265493496,9.717540483508351,13.748084265493498,38.748084265493496
LA4647,36-683,dual_annealing,240.0,0.2447956470007288,38.72377783137783,9.704436967936918,13.723777831377834,38.72377783137783
LA4647,36-683,dual_annealing,250.0,0.22849797653655213,38.79049816389444,9.760008937892135,13.790498163894437,38.79049816389444
LA4647,36-683,dual_annealing,260.0,0.2479980147378576,38.73856739158741,9.701033261955072,13.738567391587411,38.73856739158741
LA4647,36-683,dual_annealing,270.0,0.22299837559768132,38.80552955388255,9.776132646462816,13.805529553882549,38.80552955388255
LA4647,36-683,dual_annealing,280.0,0.24949837005757572,38.73596130864685,9.705836607995938,13.735961308646846,38.73596130864685
LA4647,36-683,dual_annealing,290.0,0.23849856473538641,38.89977807375924,9.785636772954128,13.899778073759233,38.89977807375924
LA4647,36-683,dual_annealing,300.0,0.23449873471205254,38.788913783267375,9.7577365702044,13.788913783267379,38.788913783267375
LA4647,36-683,nelder_mead,150.0,0.0006137284772370415,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,160.0,0.0004047603177444146,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,170.0,0.00032049165346277717,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,180.0,0.0003048016616923884,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,190.0,0.0001641396620140512,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,200.0,0.011930887622228667,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,210.0,0.0072826493279876505,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,220.0,0.011791684403681682,35.060956875723775,9.70055779775619,10.060956875723779,35.060956875723775
LA4647,36-683,nelder_mead,230.0,0.014367951247848525,34.80771904798452,9.702512181814715,9.80771904798452,34.80771904798452
LA4647,36-683,nelder_mead,240.0,0.010951073390189754,34.819947523057536,9.716066257647071,9.819947523057536,34.819947523057536
LA4647,36-683,nelder_mead,250.0,0.009499966077962125,34.81359987211235,9.708894816046651,9.813599872112349,34.81359987211235
LA4647,36-683,nelder_mead,260.0,0.009499969311563142,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,270.0,0.008999973691497019,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
LA4647,36-683,nelder_mead,280.0,0.010999970904656006,34.810490959674006,9.701867282447918,9.810490959674006,34.810490959674006
