lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber
LA4002,LA4002,differential_evolution,150.0,0.00017388668979046037,35.7,9.757714978645248,10.7,35.7
LA4002,LA4002,differential_evolution,160.0,5.959858956591164e-05,35.7,10.130301687045229,10.7,35.7
LA4002,LA4002,differential_evolution,170.0,8.234255803539978e-05,35.7,9.913059129236883,10.7,35.7
LA4002,LA4002,differential_evolution,180.0,8.652185159971991e-05,35.7,9.913059107032431,10.7,35.7
LA4002,LA4002,differential_evolution,190.0,3.251979456660534e-05,35.7,9.913059295770326,10.7,35.7
LA4002,LA4002,differential_evolution,200.0,0.21786881937486202,40.73226974271063,12.185059069256592,15.732269742710628,40.73226974271063
LA4002,LA4002,differential_evolution,210.0,0.21649882161679493,40.71202777990537,12.193076230129776,15.71202777990537,40.71202777990537
LA4002,LA4002,differential_evolution,220.0,0.2517966500416512,40.75044225678549,12.179824879014948,15.75044225678549,40.75044225678549
LA4002,LA4002,differential_evolution,230.0,0.24203316430182667,40.76722171326058,12.17939575579706,15.767221713260582,40.76722171326058
LA4002,LA4002,differential_evolution,240.0,0.2574427258502097,40.730943937940914,12.189589984364886,15.730943937940914,40.730943937940914
LA4002,LA4002,differential_evolution,250.0,0.23749773125928,40.98615349955762,12.178985793911325,15.986153499557624,40.98615349955762
LA4002,LA4002,differential_evolution,260.0,0.25799779546285107,40.723682756044234,12.18997484112782,15.723682756044234,40.723682756044234
LA4002,LA4002,differential_evolution,270.0,0.2514980643716142,40.74763938125763,12.216571219389378,15.747639381257628,40.74763938125763
LA4002,LA4002,differential_evolution,280.0,0.24599828511858057,40.73528533100239,12.196553222828834,15.735285331002387,40.73528533100239
LA4002,LA4002,differential_evolution,290.0,0.2429984652840372,40.76280872288584,12.227785182788796,15.762808722885843,40.76280872288584
LA4002,LA4002,differential_evolution,300.0,0.24749858569052385,40.71061937141949,12.1801970936256,15.71061937141949,40.71061937141949
LA4002,LA4002,dual_annealing,150.0,0.00011568547798939743,35.7,9.933594609949335,10.7,35.7
LA4002,LA4002,dual_annealing,160.0,8.38003946182715e-05,35.7,10.37076363644477,10.7,35.7
LA4002,LA4002,dual_annealing,170.0,0.00012327361504170463,35.7,10.404664653490821,10.7,35.7
LA4002,LA4002,dual_annealing,180.0,5.2065017150681615e-05,35.7,9.806372424122948,10.7,35.7
LA4002,LA4002,dual_annealing,190.0,9.713374948185468e-05,35.7,10.186060244222707,10.7,35.7
LA4002,LA4002,dual_annealing,200.0,0.2183072516599728,40.801634887249435,12.340684972979435,15.801634887249433,40.801634887249435
LA4002,LA4002,dual_annealing,210.0,0.22013005717361067,40.81030216959476,12.291060094668897,15.810302169594767,40.81030216959476
LA4002,LA4002,dual_annealing,220.0,0.22465652416213697,43.64128457710207,12.076033910048814,18.64128457710207,43.64128457710207
LA4002,LA4002,dual_annealing,230.0,0.2469363131540997,40.73937598635693,12.202874978097462,15.739375986356933,40.73937598635693
LA4002,LA4002,dual_annealing,240.0,0.21841342188558863,40.77053722407473,12.231470939785103,15.77053722407473,40.77053722407473
LA4002,LA4002,dual_annealing,250.0,0.25299761362848483,40.80157773049933,12.265876152050808,15.801577730499329,40.80157773049933
LA4002,LA4002,dual_annealing,260.0,0.23599798361034208,40.84554431887836,12.319390662370257,15.845544318878362,40.84554431887836
LA4002,LA4002,dual_annealing,270.0,0.2529980474473477,40.763330184157866,12.224682120820457,15.76333018415787,40.763330184157866
LA4002,LA4002,dual_annealing,280.0,0.2314983563901809,41.096667438809845,12.166174210222337,16.096667438809842,41.096667438809845
LA4002,LA4002,dual_annealing,290.0,0.23199834490711715,45.328815997056914,12.010646636781168,20.328815997056914,45.328815997056914
LA4002,LA4002,dual_annealing,300.0,0.2374986418299916,40.71885122326659,12.190178563735241,15.718851223266588,40.71885122326659
LA4002,LA4002,nelder_mead,150.0,0.00014060689421900325,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
LA4002,LA4002,nelder_mead,160.0,0.0001320656940781255,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
LA4002,LA4002,nelder_mead,170.0,0.00012714274711065542,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
LA4002,LA4002,nelder_mead,180.0,5.410702425467052e-05,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
LA4002,LA4002,nelder_mead,190.0,0.0001820613481718377,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
LA4002,LA4002,nelder_mead,200.0,0.22011030036217694,40.68924981776519,12.186638817628022,15.689249817765187,40.68924981776519
LA4002,LA4002,nelder_mead,210.0,0.23410354638656267,40.718513801693916,12.194980785250664,15.718513801693916,40.718513801693916
LA4002,LA4002,nelder_mead,220.0,0.107786644077876,39.07115598442033,11.388320072554052,14.07115598442033,39.07115598442033
LA4002,LA4002,nelder_mead,230.0,0.23329335628659473,40.71129525608981,12.18702733497247,15.711295256089812,40.71129525608981
LA4002,LA4002,nelder_mead,240.0,0.2431163963219364,40.73024691947276,12.18055352842677,15.730246919472766,40.73024691947276
LA4002,LA4002,nelder_mead,250.0,0.24199771347107543,40.78109647729434,12.247368354117498,15.78109647729434,40.78109647729434
LA4002,LA4002,nelder_mead,260.0,0.2349979909895084,40.76627533721933,12.228303000069673,15.766275337219327,40.76627533721933
LA4002,LA4002,nelder_mead,270.0,0.26499760515616166,46.904296875,11.951171875,21.904296875,46.904296875
LA4002,LA4002,nelder_mead,280.0,0.10749930256502645,38.88145864009857,11.01503872871399,13.881458640098572,38.88145864009857
