lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,orientation,medium
49-959,36-689,differential_evolution,150.0,7.256644481342796e-06,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,160.0,4.168360427142982e-06,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,170.0,2.4703146220977427e-06,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,180.0,1.506369349480956e-06,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,190.0,1.2471861808443205e-06,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,200.0,0.2942301177098644,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,210.0,0.3123541914852688,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,220.0,0.3258962429665434,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,230.0,0.3351605394476848,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,240.0,0.3406807383898774,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,250.0,0.3459957031494075,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,260.0,0.3459961120465614,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,270.0,0.3459964820324109,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,280.0,0.3459968168097838,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,290.0,0.3459971197291496,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,differential_evolution,300.0,0.3459973938221496,29.963129371579143,14.141769139629757,20.965672809199823,55.96312937157914,SfccfF,air
49-959,36-689,dual_annealing,150.0,7.590950063619042e-06,29.75511582625301,14.152294574299273,20.775686341089774,55.75511582625301,SfccfF,air
49-959,36-689,dual_annealing,160.0,4.40563904218855e-06,29.75511582625301,14.152294574299273,20.775686341089774,55.75511582625301,SfccfF,air
49-959,36-689,dual_annealing,170.0,2.635053537463861e-06,29.75511582625301,14.152294574299273,20.775686341089774,55.75511582625301,SfccfF,air
49-959,36-689,dual_annealing,180.0,1.6017926677837569e-06,29.75511582625301,14.152294574299273,20.775686341089774,55.75511582625301,SfccfF,air
49-959,36-689,dual_annealing,190.0,1.311229175686399e-06,29.75511582625301,14.152294574299273,20.775686341089774,55.75511582625301,SfccfF,air
49-959,36-689,dual_annealing,200.0,0.2961129032964089,29.75511582625301,14.152294574299273,20.775686341089774,55.75511582625301,SfccfF,air
49-959,36-689,dual_annealing,210.0,0.3142816737470654,29.75511582625301,14.152294574299273,20.775686341089774,55.75511582625301,SfccfF,air
