z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm
19.131249999999998,358.0833333333333,478.0833333333333,0.212,36-690,84-285,40.0,120.0,478.0833333333333
21.525,397.5833333333333,517.5833333333333,0.209,48-273,84-285,38.0,120.0,517.5833333333333
22.275,128.08333333333334,188.08333333333334,0.203,36-690,LA4022,40.0,60.0,188.08333333333334
21.525,31.8,69.8,0.194,48-273,48-273,38.0,38.0,69.8
22.275,118.08333333333334,178.08333333333334,0.191,36-690,84-280,40.0,60.0,178.08333333333334
21.525,117.58333333333334,177.58333333333334,0.188,48-273,48-670,38.0,60.0,177.58333333333334
21.525,117.58333333333334,177.58333333333334,0.188,48-273,LA4022,38.0,60.0,177.58333333333334
22.275,128.08333333333334,188.08333333333334,0.187,36-690,48-670,40.0,60.0,188.08333333333334
22.275,39.13333333333333,77.13333333333333,0.186,36-690,48-273,40.0,38.0,77.13333333333333
21.525,107.58333333333334,167.58333333333334,0.18,48-273,LA4042,38.0,60.0,167.58333333333334
22.275,138.08333333333334,198.08333333333334,0.179,36-690,84-283,40.0,60.0,198.08333333333334
21.525,80.58333333333334,134.58333333333334,0.178,48-273,36-688,38.0,54.0,134.58333333333334
21.525,127.58333333333334,187.58333333333334,0.177,48-273,84-283,38.0,60.0,187.58333333333334
22.275,118.08333333333334,178.08333333333334,0.174,36-690,LA4042,40.0,60.0,178.08333333333334
22.275,99.08333333333334,153.08333333333334,0.173,36-690,36-688,40.0,54.0,153.08333333333334
21.525,107.58333333333334,167.58333333333334,0.169,48-273,49-963,38.0,60.0,167.58333333333334
22.275,85.58333333333334,130.58333333333334,0.168,36-690,84-279,40.0,45.0,130.58333333333334
21.525,107.58333333333334,167.58333333333334,0.168,48-273,84-280,38.0,60.0,167.58333333333334
17.583333333333332,30.083333333333332,55.08333333333333,0.164,48-273,36-683,38.0,25.0,55.08333333333333
29.775000000000002,503.1333333333333,678.1333333333333,0.16,49-963,LA4034,60.0,175.0,678.1333333333333
19.131249999999998,38.150000000000006,68.25,0.15,36-690,LA4966,40.0,30.1,68.25
19.131249999999998,30.58333333333333,55.58333333333333,0.149,36-690,LA4002,40.0,25.0,55.58333333333333
18.568749999999998,32.63333333333334,62.73333333333334,0.148,48-273,LA4966,38.0,30.1,62.73333333333334
18.568749999999998,42.58333333333333,72.58333333333333,0.145,48-273,48-025,38.0,30.0,72.58333333333333
18.568749999999998,25.916666666666664,50.916666666666664,0.142,48-273,LA4002,38.0,25.0,50.916666666666664
21.525,30.46666666666667,60.46666666666667,0.142,48-273,LA4021,38.0,30.0,60.46666666666667
19.131249999999998,30.58333333333333,55.58333333333333,0.141,36-690,48-024,40.0,25.0,55.58333333333333
18.568749999999998,42.66666666666667,72.76666666666668,0.141,48-273,LA4936,38.0,30.1,72.76666666666668
18.568749999999998,25.916666666666664,50.916666666666664,0.14,48-273,84-277,38.0,25.0,50.916666666666664
36.46666666666667,66.46666666666667,126.46666666666667,0.14,49-963,84-283,60.0,60.0,126.46666666666667
18.568749999999998,42.58333333333333,72.58333333333333,0.138,48-273,84-278,38.0,30.0,72.58333333333333
18.568749999999998,25.916666666666664,50.916666666666664,0.137,48-273,48-024,38.0,25.0,50.916666666666664
18.083333333333332,522.3,697.3,0.137,36-690,LA4034,40.0,175.0,697.3
21.525,85.08333333333334,130.08333333333334,0.135,48-273,84-279,38.0,45.0,130.08333333333334
22.275,36.46666666666667,66.46666666666667,0.134,36-690,LA4021,40.0,30.0,66.46666666666667
19.131249999999998,48.08333333333333,78.08333333333333,0.132,36-690,84-278,40.0,30.0,78.08333333333333
19.131249999999998,48.08333333333333,78.08333333333333,0.129,36-690,48-025,40.0,30.0,78.08333333333333
26.466666666666665,36.49999999999999,96.69999999999999,0.128,36-690,LA4464,40.0,60.2,96.69999999999999
19.131249999999998,30.58333333333333,55.58333333333333,0.126,36-690,84-277,40.0,25.0,55.58333333333333
19.131249999999998,48.18333333333334,78.28333333333333,0.125,36-690,LA4936,40.0,30.1,78.28333333333333
36.46666666666667,316.4666666666667,436.4666666666667,0.122,49-963,84-285,60.0,120.0,436.4666666666667
36.46666666666667,86.63333333333333,146.83333333333331,0.12,49-963,LA4464,60.0,60.2,146.83333333333331
15.612499999999997,24.28333333333333,44.38333333333333,0.114,48-273,LA4194,38.0,20.1,44.38333333333333
17.583333333333332,30.083333333333332,55.08333333333333,0.114,48-273,89-414,38.0,25.0,55.08333333333333
18.568749999999998,52.58333333333333,82.58333333333333,0.111,48-273,49-959,38.0,30.0,82.58333333333333
