z_l1,z_l2,z_fiber,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm
9.7,94.7,124.7,0.216,48-668,LA4021,18.0,30.0,124.7
9.7,22.2,47.2,0.206,48-668,LA4002,18.0,25.0,47.2
9.7,89.7,119.7,0.197,48-668,49-959,18.0,30.0,119.7
9.7,99.69999999999999,159.7,0.192,48-668,49-963,18.0,60.0,159.7
9.7,30.533333333333335,55.53333333333333,0.191,48-668,84-277,18.0,25.0,55.53333333333333
9.7,14.1625,44.1625,0.182,48-668,84-278,18.0,30.0,44.1625
9.7,16.35,61.35,0.181,48-668,84-279,18.0,45.0,61.35
9.7,22.2,47.2,0.18,48-668,48-024,18.0,25.0,47.2
9.7,104.7,142.7,0.18,48-668,48-273,18.0,38.0,142.7
9.7,99.69999999999999,159.7,0.18,48-668,84-283,18.0,60.0,159.7
9.7,99.69999999999999,159.7,0.178,48-668,LA4022,18.0,60.0,159.7
9.7,89.69999999999999,149.7,0.175,48-668,48-670,18.0,60.0,149.7
9.7,54.699999999999996,108.69999999999999,0.173,48-668,36-688,18.0,54.0,108.69999999999999
9.7,14.177083333333332,44.27708333333334,0.172,48-668,LA4936,18.0,30.1,44.27708333333334
9.7,14.1625,44.1625,0.169,48-668,48-025,18.0,30.0,44.1625
9.7,30.231250000000003,50.331250000000004,0.167,48-668,LA4647,18.0,20.1,50.331250000000004
9.7,15.024999999999999,33.025,0.166,48-668,48-668,18.0,18.0,33.025
9.7,18.7,36.7,0.166,48-668,45-692,18.0,18.0,36.7
9.7,389.7,509.7,0.166,48-668,84-285,18.0,120.0,509.7
9.7,18.7,36.7,0.164,48-668,45-694,18.0,18.0,36.7
9.7,79.69999999999999,139.7,0.161,48-668,LA4042,18.0,60.0,139.7
9.7,24.75,54.85,0.16,48-668,LA4966,18.0,30.1,54.85
9.7,17.066666666666666,42.06666666666666,0.159,48-668,89-414,18.0,25.0,42.06666666666666
9.7,17.066666666666666,42.06666666666666,0.155,48-668,36-683,18.0,25.0,42.06666666666666
9.7,99.69999999999999,159.7,0.154,48-668,84-280,18.0,60.0,159.7
9.7,19.75,39.85,0.15,48-668,LA4194,18.0,20.1,39.85
10.420833333333333,200.33333333333331,260.5333333333333,0.139,48-668,LA4464,18.0,60.2,260.5333333333333
9.7,45.7,57.7,0.131,LA4001,48-666,15.0,12.0,57.7
10.420833333333333,534.7,709.7,0.122,48-668,LA4005,18.0,175.0,709.7
9.7,13.7125,27.2125,0.115,48-668,45-693,18.0,13.5,27.2125
9.7,47.7,59.7,0.115,LA4001,45-691,15.0,12.0,59.7
10.420833333333333,563.8666666666667,738.8666666666667,0.107,48-668,LA4034,18.0,175.0,738.8666666666667
10.766666666666666,38.03333333333334,48.03333333333334,0.103,LA4001,LA4280,15.0,10.0,48.03333333333334
9.7,63.7,81.7,0.102,LA4001,48-668,15.0,18.0,81.7
9.7,50.2,63.7,0.101,LA4001,45-693,15.0,13.5,63.7
10.420833333333333,505.53333333333336,680.5333333333333,0.098,48-668,48-279,18.0,175.0,680.5333333333333
9.7,88.86666666666667,113.86666666666667,0.096,LA4001,LA4002,15.0,25.0,113.86666666666667
9.7,14.1375,24.1375,0.094,LA4042,89-411,60.0,10.0,24.1375
29.774999999999995,38.13333333333334,68.23333333333335,0.094,LA4042,LA4966,60.0,30.1,68.23333333333335
