lens1,lens2,method,coupling,total_len_mm,z_l1,z_l2,z_fiber,f1_mm,f2_mm,orientation,time_seconds
49-961,LA4725,dual_annealing,0.21039207628013074,86.39962226417362,27.087766569518877,32.08794621152935,86.39962226417362,40.0,75.3,SfccfF,9.46030068397522
49-961,LA4725,powell,0.2062569185316307,86.63760952098369,27.004065287984368,32.09214115309802,86.63760952098369,40.0,75.3,SfccfF,0.4063072204589844
49-961,LA4725,nelder_mead,0.2047104591726015,86.5730145416293,27.000418701687032,32.01665488917566,86.5730145416293,40.0,75.3,SfccfF,0.530672550201416
49-961,LA4725,differential_evolution,0.20036696012158786,86.02376096675012,27.46526444104331,32.735583123151244,86.02376096675012,40.0,75.3,SfccfF,1.8890719413757324
49-961,LA4725,grid_search,0.18153862029136444,168.67196504510517,27.0,114.85000000000002,168.67196504510517,40.0,75.3,SfccfF,0.5359551906585693
