lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
23-816,48-274,39.8,50.0,27.133271001262845,59.49531232946602,84.89039051750323,58.890390517503235,0.040205,SfccfF,optimized
23-816,48-026,39.8,40.0,27.15735166383636,59.80975228050697,81.18743264272464,55.187432642724644,0.037625,SfccfF,optimized
23-816,36-687,39.8,36.0,27.114188558835178,59.76608659969671,79.77230299800812,53.772302998008115,0.035045,SfccfF,optimized
23-816,48-027,39.8,50.0,27.213250927788504,59.81074419470062,84.89923065604728,58.89923065604728,0.0344,SfccfF,optimized
23-816,48-273,39.8,38.0,27.30712199918845,59.921227306176654,81.0389004031936,55.038900403193594,0.03354,SfccfF,optimized
23-816,36-690,39.8,40.0,27.48642547622349,59.82444069308376,82.05357049254287,56.053570492542875,0.0301,SfccfF,optimized
23-816,23-816,39.8,39.8,27.04531597944369,59.50571171475077,87.43043750597138,61.43043750597138,0.02967,SfccfF,optimized
23-815,LA4052,29.5,35.1,27.055602934443364,46.208020207662926,65.71407104176461,39.71407104176461,0.02924,SfccfF,optimized
23-816,22-846,39.8,39.8,27.663347053600447,60.065471727206834,87.99019751012487,61.99019751012487,0.02924,SfccfF,optimized
23-816,36-689,39.8,35.0,27.03558114634763,59.53607212837978,80.19202504292174,54.19202504292174,0.02623,SfccfF,optimized
23-816,21-203,39.8,32.0,27.464878604152247,59.85513548939619,85.19261824926437,59.19261824926437,0.025155,SfccfF,optimized
23-816,21-202,39.8,32.0,27.22607197339423,59.59741290778037,83.09806995912025,57.09806995912025,0.02494,SfccfF,optimized
23-816,19-523,39.8,32.0,27.143666549750264,59.57910812141624,84.91659088128442,58.91659088128442,0.02365,SfccfF,optimized
23-816,48-025,39.8,30.0,27.045915002637532,59.384543584345394,78.76147653449735,52.76147653449735,0.023435,SfccfF,optimized
23-816,19-522,39.8,32.0,27.13814294508339,59.513157824669406,83.06733774858601,57.06733774858601,0.0223599999999999,SfccfF,optimized
23-816,23-815,39.8,29.5,27.519859882835384,59.92333425746173,78.9773341810809,52.977334181080906,0.0221449999999999,SfccfF,optimized
23-815,LA4936,29.5,30.1,27.194736732858363,46.503849628984334,62.59055751605022,36.59055751605022,0.0219299999999999,SfccfF,optimized
23-816,22-845,39.8,29.5,27.14657467923259,59.70153603083454,78.75553595445372,52.75553595445372,0.021285,SfccfF,optimized
23-816,36-686,39.8,27.0,27.617584019878905,59.97644345647265,75.91103919383018,49.91103919383018,0.02107,SfccfF,optimized
23-815,LA4966,29.5,30.1,27.108058903973745,46.21137636152568,62.29808373421886,36.29808373421886,0.020855,SfccfF,optimized
23-816,45-695,39.8,27.0,27.245086166009216,59.61702096173619,75.55161669909371,49.551616699093714,0.02064,SfccfF,optimized
23-816,23-812,39.8,8.5,27.02507713202965,63.30169238961086,74.81156433636171,48.81156433636171,0.01892,SfccfF,optimized
23-816,48-024,39.8,25.0,27.084987616699014,59.75116808825337,75.89862696765115,49.898626967651154,0.01849,SfccfF,optimized
23-816,21-200,39.8,23.5,27.30372381256019,59.65570640040445,76.95330961562937,50.953309615629365,0.017845,SfccfF,optimized
23-815,LA4130,29.5,40.1,27.147708237394845,47.22876120796796,67.43179973657955,41.43179973657955,0.0172,SfccfF,optimized
23-816,36-681,39.8,22.0,27.006942229084416,59.66992669410014,73.87968857391769,47.87968857391769,0.01677,SfccfF,optimized
23-816,36-683,39.8,25.0,27.090776164248908,59.63582235425265,74.39007738224666,48.39007738224666,0.01677,SfccfF,optimized
23-816,19-519,39.8,23.5,27.17183055980121,60.12754395528487,77.42514716351128,51.425147163511284,0.01634,SfccfF,optimized
23-816,22-841,39.8,8.5,28.14840310884328,64.64942586799819,76.15929779475893,50.15929779475893,0.016125,SfccfF,optimized
23-816,21-201,39.8,21.6,27.29139751150675,59.83602428417694,81.43602428417694,55.43602428417694,0.0152649999999999,SfccfF,focal_length
23-815,LA4647,29.5,20.1,27.497060357287157,46.68197460060983,59.23874454833132,33.23874454833132,0.01505,SfccfF,optimized
23-816,19-520,39.8,21.6,27.06992707139851,59.92529852579207,81.52529852579207,55.52529852579207,0.013975,SfccfF,focal_length
23-816,36-680,39.8,36.0,27.49929195222911,60.35490012718115,80.36111651675904,54.36111651675904,0.01333,SfccfF,optimized
23-816,36-679,39.8,21.0,27.04833603348199,59.83648397274259,73.40034739108066,47.40034739108066,0.0129,SfccfF,optimized
23-815,LA4194,29.5,20.1,27.26700436783331,46.75460892081451,58.617029327677365,32.617029327677365,0.0126849999999999,SfccfF,optimized
23-816,36-682,39.8,20.0,27.00122632803245,59.34139783231883,72.25936720410411,46.25936720410411,0.01204,SfccfF,optimized
23-816,45-694,39.8,18.0,27.217025087598326,59.664314518345954,71.2904869529527,45.290486952952705,0.0111799999999999,SfccfF,optimized
23-816,45-692,39.8,18.0,27.03532470724987,59.39097015114963,71.0171425857564,45.0171425857564,0.01075,SfccfF,optimized
23-816,19-518,39.8,16.0,27.372569858593447,59.83259700063957,75.83259700063957,49.832597000639566,0.009675,SfccfF,focal_length
23-815,LA4148,29.5,50.2,27.04074576230216,46.70904084535054,72.21720624479457,46.21720624479457,0.00817,SfccfF,optimized
23-815,LA4917,29.5,15.1,27.189329903029204,46.40968506792321,56.16275183531275,30.162751835312747,0.0077399999999999,SfccfF,optimized
