lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
72-508,48-273,23.5,38.0,27.209772688976873,42.39419123059609,62.094515943302504,62.094515943302504,0.02752,SfccfF,optimized
72-508,36-690,23.5,40.0,27.018178156138994,41.94755684703624,62.272788090089456,62.272788090089456,0.025155,SfccfF,optimized
72-508,49-960,23.5,35.0,27.06765822030824,41.89620899928513,60.14123244882413,60.14123244882413,0.02494,SfccfF,optimized
72-508,23-816,23.5,39.8,27.1295069481747,42.10436433946598,68.13471106133518,68.13471106133518,0.024725,SfccfF,optimized
72-508,36-687,23.5,36.0,27.030548860435985,41.99874322301947,60.47235089743645,60.47235089743645,0.02365,SfccfF,optimized
72-508,21-203,23.5,32.0,27.396723748822765,42.39449848863405,67.39588200578005,67.39588200578005,0.022574999999999998,SfccfF,optimized
72-508,48-025,23.5,30.0,27.054402803834392,41.85683683472486,57.89010050954135,57.89010050954135,0.022144999999999998,SfccfF,optimized
72-508,21-202,23.5,32.0,27.176700037502325,42.11072742083094,60.99616998260931,60.99616998260931,0.021929999999999998,SfccfF,optimized
72-508,72-491,23.5,32.0,27.055749496657082,41.8660538298422,66.94335603160059,66.94335603160059,0.021929999999999998,SfccfF,optimized
72-508,72-511,23.5,32.0,27.16141621515578,42.127723655007856,67.14360649547498,67.14360649547498,0.021929999999999998,SfccfF,optimized
72-508,48-669,23.5,36.0,27.533239705958042,42.4747139133416,60.51742404364586,60.51742404364586,0.021070000000000002,SfccfF,optimized
72-508,36-689,23.5,35.0,27.02744831422684,41.97813694047133,61.20292269481431,61.20292269481431,0.020855000000000002,SfccfF,optimized
72-508,22-846,23.5,39.8,27.569770621292452,42.509954955349606,68.54030167120293,68.54030167120293,0.020855000000000002,SfccfF,optimized
72-508,19-522,23.5,32.0,27.168907748781614,41.98763177655826,60.87307434016243,60.87307434016243,0.01978,SfccfF,optimized
72-508,19-523,23.5,32.0,27.22925749159325,42.04620052848913,67.06208336895625,67.06208336895625,0.019565,SfccfF,optimized
72-508,48-026,23.5,40.0,27.044696055866314,41.88108296062449,62.082091317468915,62.082091317468915,0.019135,SfccfF,optimized
72-508,72-510,23.5,32.0,27.026504571723976,41.928299550957846,60.813742115442054,60.813742115442054,0.018705,SfccfF,optimized
72-508,22-845,23.5,29.5,27.321942527207774,42.1989094529446,59.608930721538954,59.608930721538954,0.018275,SfccfF,optimized
72-508,72-490,23.5,32.0,27.2013002553114,42.19368123957288,61.07912380012085,61.07912380012085,0.018275,SfccfF,optimized
72-508,72-493,23.5,8.5,27.24186033915093,46.0089442504527,56.17580755671812,56.17580755671812,0.01806,SfccfF,optimized
72-508,36-680,23.5,36.0,27.025610281939493,41.86088800286197,60.5878102613967,60.5878102613967,0.01806,SfccfF,optimized
72-508,45-695,23.5,27.0,27.21971685549093,42.51579751619795,57.520463202342405,57.520463202342405,0.017845,SfccfF,optimized
72-508,36-686,23.5,27.0,27.0844572546697,42.06606047888664,58.00065536386127,58.00065536386127,0.0172,SfccfF,optimized
72-508,49-959,23.5,30.0,27.02538989372698,41.895961218089624,58.56781198047236,58.56781198047236,0.0172,SfccfF,optimized
72-508,72-496,23.5,29.5,27.3093602508808,42.32722813258269,59.737249401177046,59.737249401177046,0.01634,SfccfF,optimized
72-508,72-513,23.5,8.5,27.512605768828905,46.811425418429266,56.31471983078445,56.31471983078445,0.01591,SfccfF,optimized
72-508,19-519,23.5,23.5,27.032478236825256,42.223074011198506,57.401683838308244,57.401683838308244,0.015694999999999997,SfccfF,optimized
72-508,23-812,23.5,8.5,27.685060191008525,46.389829661818496,55.89312408042695,55.89312408042695,0.015050000000000001,SfccfF,optimized
72-508,36-681,23.5,22.0,27.02236428671053,41.850299200414206,54.834043382705815,54.834043382705815,0.014620000000000001,SfccfF,optimized
72-508,48-665,23.5,24.0,27.008316079905143,42.41491081066411,55.752391246544065,55.752391246544065,0.014620000000000001,SfccfF,optimized
72-508,21-200,23.5,23.5,27.307264656959326,42.23850849797641,57.41711832485722,57.41711832485722,0.014620000000000001,SfccfF,optimized
72-508,23-815,23.5,29.5,27.472822901499505,42.688180561738235,60.0982018303326,60.0982018303326,0.014620000000000001,SfccfF,optimized
72-508,36-679,23.5,21.0,27.416189693875346,42.27854081252748,54.67211461863247,54.67211461863247,0.014190000000000001,SfccfF,optimized
72-508,36-683,23.5,25.0,27.341762168951707,43.54910624500044,57.442315180654575,57.442315180654575,0.013545,SfccfF,optimized
72-508,72-489,23.5,21.6,27.138606225321737,42.07182884831363,61.12229974264795,61.12229974264795,0.0129,SfccfF,optimized
