lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
84-281,72-510,75.0,32.0,27.05868616749786,30.612606653415284,71.05843870700265,71.05843870700265,0.10728499999999999,SfccfF,optimized
84-281,72-491,75.0,32.0,27.287518448550728,30.845920995509942,71.29175122412767,71.29175122412767,0.10427499999999999,SfccfF,optimized
84-281,72-490,75.0,32.0,27.86933932900704,31.703624784870527,72.12613145655416,72.12613145655416,0.09825500000000001,SfccfF,optimized
84-281,72-511,75.0,32.0,27.06396182908695,30.56795239357217,71.01378415434537,71.01378415434537,0.092665,SfccfF,optimized
84-281,84-278,75.0,30.0,31.357997511434334,35.01880826562521,65.01880826562521,65.01880826562521,0.08084,SfccfF,focal_length
84-281,LA4052,75.0,35.1,36.94248352073718,40.44655445939269,75.5465544593927,75.5465544593927,0.07912,SfccfF,focal_length
84-281,LA4002,75.0,25.0,28.167809423943524,31.858910315268986,56.858910315268986,56.858910315268986,0.0731,SfccfF,focal_length
84-281,LA4306,75.0,40.1,38.167429905218036,41.821862528791186,81.9218625287912,81.9218625287912,0.07009,SfccfF,focal_length
84-281,72-516,75.0,29.5,27.017858584669554,31.02407562222085,60.52407562222085,60.52407562222085,0.06794,SfccfF,focal_length
84-281,72-496,75.0,29.5,27.191316627569257,31.088428097629063,60.58842809762906,60.58842809762906,0.06493,SfccfF,focal_length
84-281,84-277,75.0,25.0,28.383505580789972,32.36804072328853,57.36804072328853,57.36804072328853,0.064715,SfccfF,focal_length
84-281,72-488,75.0,23.5,27.167279750324624,30.85289810900386,60.493519413185446,60.493519413185446,0.064285,SfccfF,optimized
84-281,LA4003,75.0,35.0,34.419856732933994,38.574251624431156,73.57425162443116,73.57425162443116,0.061704999999999996,SfccfF,focal_length
84-281,LA4148,75.0,50.2,41.0716198939801,44.831860027498436,95.03186002749844,95.03186002749844,0.061704999999999996,SfccfF,focal_length
84-281,72-508,75.0,23.5,27.369380762517956,31.12162949092918,60.747700482557875,60.747700482557875,0.060844999999999996,SfccfF,optimized
84-281,84-282,75.0,50.0,41.08252391982403,45.64562531031358,95.64562531031358,95.64562531031358,0.060415,SfccfF,focal_length
84-281,LA4130,75.0,40.1,36.19920722240185,40.22293506982655,80.32293506982654,80.32293506982654,0.056545000000000005,SfccfF,focal_length
84-281,LA4021,75.0,30.0,36.73760002770676,40.42360158999345,70.42360158999345,70.42360158999345,0.0559,SfccfF,focal_length
84-281,84-279,75.0,45.0,27.015753463685684,30.62731893741433,98.11969550427297,98.11969550427297,0.055255,SfccfF,optimized
84-281,72-489,75.0,21.6,27.13704228483659,30.684395876454943,57.985332273851625,57.985332273851625,0.039775,SfccfF,optimized
84-281,72-509,75.0,21.6,27.165420466860333,30.703469779411407,58.00440862555869,58.00440862555869,0.038915,SfccfF,optimized
84-281,LA4194,75.0,20.1,27.156890161066826,30.686951482082634,50.786951482082635,50.786951482082635,0.025155,SfccfF,focal_length
