lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
67-226,72-511,200.0,32.0,27.091625662116115,35.12532444547665,82.92657336435556,56.92657336435556,0.09718,SfccfF,optimized
67-226,72-491,200.0,32.0,27.435031851132123,35.01465638810555,82.75448182250773,56.75448182250773,0.09374,SfccfF,optimized
67-226,72-510,200.0,32.0,27.06497882750301,34.790689958955454,82.78545220038944,56.78545220038944,0.085785,SfccfF,optimized
67-226,72-490,200.0,32.0,27.119043520957945,34.65936866885471,82.62174877631868,56.62174877631868,0.07869,SfccfF,optimized
67-226,84-278,200.0,30.0,28.19780625584116,35.7362094114948,78.91362481160782,52.91362481160782,0.07611,SfccfF,optimized
67-226,LA4002,200.0,25.0,27.26114097666013,35.05439964523856,66.65270755229693,40.65270755229693,0.0750349999999999,SfccfF,optimized
67-226,72-516,200.0,29.5,27.029190763070403,34.738074538070435,70.24502978834464,44.24502978834464,0.070305,SfccfF,optimized
67-226,84-277,200.0,25.0,27.08676380179853,34.61930670081452,66.21761464673023,40.217614646730226,0.07009,SfccfF,optimized
67-226,49-959,200.0,30.0,27.009849024361245,34.73842964895954,79.58768771012267,53.587687710122665,0.069015,SfccfF,optimized
67-226,72-496,200.0,29.5,27.091858077927892,34.66683788483891,71.93588120171044,45.935881201710444,0.06794,SfccfF,optimized
67-226,72-508,200.0,23.5,27.020654597930275,34.774982627594625,66.59638473206009,40.59638473206009,0.0612749999999999,SfccfF,optimized
67-226,72-488,200.0,23.5,27.06244618806386,34.60352479750435,66.42492690451294,40.424926904512944,0.056545,SfccfF,optimized
67-226,LA4021,200.0,30.0,27.260718360412227,34.886943165547706,79.84644707181037,53.846447071810374,0.051815,SfccfF,optimized
67-226,72-489,200.0,21.6,27.017784468362976,35.19243312480461,62.49336994307057,36.49336994307057,0.0445049999999999,SfccfF,optimized
67-226,72-509,200.0,21.6,27.05619911858622,34.561648995273345,61.86258582289535,35.86258582289535,0.04171,SfccfF,optimized
67-226,49-960,200.0,35.0,27.115162159628937,34.666091291775246,84.42999569063511,58.42999569063511,0.029025,SfccfF,optimized
67-226,48-668,200.0,18.0,29.55819846111484,37.14024244713087,55.14024244713087,29.140242447130873,0.026875,SfccfF,focal_length
67-226,72-507,200.0,16.0,27.0294914474905,34.6832740469365,54.90619336436304,28.90619336436304,0.026015,SfccfF,optimized
67-226,72-487,200.0,16.0,27.03184643121213,34.53832920164129,54.76124851906783,28.761248519067827,0.023865,SfccfF,optimized
67-226,LA4001,200.0,15.0,28.15550367207834,35.9248819923925,50.9248819923925,24.9248819923925,0.01849,SfccfF,focal_length
67-226,48-665,200.0,24.0,27.055834860917912,34.72425407372066,65.05862875155165,39.05862875155165,0.016125,SfccfF,optimized
67-226,48-666,200.0,12.0,27.206439626175182,34.804484807984835,46.80448480798484,20.804484807984842,0.01376,SfccfF,focal_length
67-226,48-664,200.0,15.0,27.6388355827323,35.1806778261917,50.1806778261917,24.180677826191697,0.0126849999999999,SfccfF,focal_length
67-226,89-412,200.0,15.0,27.10702688301853,34.6108632421672,49.6108632421672,23.6108632421672,0.0111799999999999,SfccfF,focal_length
67-226,89-414,200.0,25.0,27.194344950190494,34.729384975140846,66.32769209148776,40.32769209148776,0.01032,SfccfF,optimized
67-226,89-413,200.0,20.0,27.052111054813224,35.38738578741285,55.38738578741285,29.387385787412853,0.00946,SfccfF,focal_length
67-226,89-411,200.0,10.0,27.37438516314188,35.09626884745089,45.09626884745089,19.096268847450887,0.009245,SfccfF,focal_length
67-226,70-888,200.0,12.0,27.29983892631429,34.84509420470096,46.84509420470096,20.845094204700963,0.00817,SfccfF,focal_length
67-226,84-882,200.0,12.0,27.278398757776102,35.17201478780726,47.17201478780726,21.172014787807257,0.00516,SfccfF,focal_length
67-226,70-886,200.0,8.0,27.26568661451452,34.77293868244837,42.77293868244837,16.77293868244837,0.0043,SfccfF,focal_length
67-226,48-669,200.0,36.0,27.140060736318983,34.69373497925724,87.45383328865206,61.45383328865206,0.003655,SfccfF,optimized
67-226,LA4003,200.0,35.0,27.08294829346761,34.583260104509975,85.13278436428523,59.13278436428523,0.00344,SfccfF,optimized
67-226,72-503,200.0,8.0,27.13799081820636,34.836839711795506,42.83683971179551,16.836839711795513,0.003225,SfccfF,focal_length
67-226,70-885,200.0,9.0,27.297569956073204,34.994048881417086,43.994048881417086,17.994048881417086,0.003225,SfccfF,focal_length
67-226,72-483,200.0,8.0,27.62915442900197,36.261188405244525,44.261188405244525,18.261188405244525,0.00301,SfccfF,focal_length
67-226,LA4026,200.0,6.0,27.12748051273391,34.67142602762664,40.67142602762664,14.671426027626637,0.0027949999999999,SfccfF,focal_length
67-226,48-667,200.0,36.0,27.308062269865783,34.99679868829665,81.16158776796219,55.16158776796219,0.00258,SfccfF,optimized
67-226,70-884,200.0,6.0,27.0405323224328,34.87638487012771,40.87638487012771,14.876384870127708,0.00215,SfccfF,focal_length
67-226,70-882,200.0,4.0,27.09822353068543,34.629119283322495,38.629119283322495,12.629119283322495,0.001505,SfccfF,focal_length
67-226,70-883,200.0,6.0,27.32996434921193,34.84746321861647,40.84746321861647,14.847463218616468,0.001505,SfccfF,focal_length
67-226,72-492,200.0,4.5,27.042705358707394,36.626428303853885,42.71989147403874,16.71989147403874,0.001505,SfccfF,optimized
67-226,49-961,200.0,40.0,27.00946243489676,34.818068914986355,91.21127722860209,65.21127722860209,0.001505,SfccfF,optimized
67-226,72-514,200.0,8.3,27.10549405795416,38.87794330931226,47.177943309312255,21.177943309312255,0.00129,SfccfF,focal_length
67-226,72-513,200.0,8.5,27.29525930878609,38.80236967845704,50.312241988591566,24.312241988591566,0.001075,SfccfF,optimized
67-226,84-279,200.0,45.0,27.147942126297806,34.79165233668988,95.72624815827882,69.72624815827882,0.001075,SfccfF,optimized
67-226,72-512,200.0,4.5,27.036980882470715,36.73079165117056,42.82425481980746,16.824254819807457,0.00086,SfccfF,optimized
67-226,72-493,200.0,8.5,27.766981780168493,39.27222460470554,47.77222460470554,21.772224604705542,0.00086,SfccfF,focal_length
67-226,49-963,200.0,60.0,27.01952221671945,34.525982660394504,78.6900667755081,52.6900667755081,0.00086,SfccfF,optimized
67-226,49-962,200.0,50.0,27.22466597206366,35.01109939101414,85.01109939101414,59.01109939101414,0.00086,SfccfF,focal_length
67-226,LA4024,200.0,4.0,27.102558396472176,35.230274213465975,39.230274213465975,13.230274213465975,0.000645,SfccfF,focal_length
67-226,72-494,200.0,8.3,27.04661989379622,38.7609151660491,47.0609151660491,21.0609151660491,0.000645,SfccfF,focal_length
67-226,48-670,200.0,60.0,27.373113229858404,34.90836841162786,94.90836841162786,68.90836841162786,0.000645,SfccfF,focal_length
67-226,84-283,200.0,60.0,27.067303773971872,34.95959379616565,94.95959379616563,68.95959379616563,0.000645,SfccfF,focal_length
67-226,84-282,200.0,50.0,27.041952445811887,34.56183289274165,97.7584423224371,71.7584423224371,0.00043,SfccfF,optimized
