lens1,lens2,method,coupling,total_len_mm,z_l1,z_l2,z_fiber,f1_mm,f2_mm,time_seconds
36-682,48-024,nelder_mead,0.22824365426147292,38.31016895771006,9.703346347808836,13.310168957710061,38.31016895771006,20.0,25.0,13.517038106918335
36-682,48-024,grid_search,0.2179300343146758,38.43333333333334,9.7,13.433333333333334,38.43333333333334,20.0,25.0,12.982538938522339
36-682,48-024,powell,0.21451042332639086,38.20975600160643,9.700570065692062,13.209756001606427,38.20975600160643,20.0,25.0,14.17587661743164
36-682,48-024,differential_evolution,0.20957247881180346,38.28736219379304,9.701605342030787,13.287362193793037,38.28736219379304,20.0,25.0,57.797754526138306
36-682,48-024,dual_annealing,0.20514311863150678,38.25857601249723,9.70026363165816,13.258576012497226,38.25857601249723,20.0,25.0,268.2862150669098
36-682,48-024,bayesian,0.19377340450889624,42.800946844697265,9.9765524879186,17.80094684469727,42.800946844697265,20.0,25.0,30.493759393692017
