lens1,lens2,method,coupling,total_len_mm,z_l1,z_l2,z_fiber,f1_mm,f2_mm,time_seconds
48-024,LA4002,powell,0.2575,41.577305368663346,12.155549732673945,16.577305368663342,41.577305368663346,25.0,25.0,6.6866796016693115
48-024,LA4002,dual_annealing,0.257,43.11517336857075,12.052485730337139,18.115173368570748,43.11517336857075,25.0,25.0,145.74347305297852
48-024,LA4002,differential_evolution,0.2565,41.543967605068204,12.119003736011578,16.543967605068204,41.543967605068204,25.0,25.0,42.63897466659546
48-024,LA4002,nelder_mead,0.25,41.54929296591945,12.12853242946403,16.54929296591945,41.54929296591945,25.0,25.0,8.418017148971558
48-024,LA4002,grid_search,0.215,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,25.0,25.0,6.901936054229736
48-024,LA4002,bayesian,0.212,59.811763171456874,12.218858880012418,34.811763171456874,59.811763171456874,25.0,25.0,50.66923379898071
