lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-686,84-278,27.0,30.0,13.79702455874734,18.93835250753696,48.93835250753696,48.93835250753696,0.224
36-686,84-277,27.0,25.0,13.090503507400117,18.409944214049734,43.40994421404973,43.40994421404973,0.221
36-687,LA4130,36.0,40.1,19.960632992959535,24.12209600693252,64.22209600693252,64.22209600693252,0.2025
36-687,84-278,36.0,30.0,18.35995446238113,22.667566374838934,52.667566374838934,52.667566374838934,0.1995
36-687,LA4936,36.0,30.1,18.07491955661353,28.23046588965956,58.330465889659564,58.330465889659564,0.199
36-687,84-279,36.0,45.0,20.587030516250078,24.687431456803125,69.68743145680313,69.68743145680313,0.179
36-687,48-025,36.0,30.0,18.408835283361405,22.63677360552168,52.63677360552168,52.63677360552168,0.1765
36-686,84-279,27.0,45.0,15.267179289046108,20.54322849237139,65.54322849237138,65.54322849237138,0.1725
36-687,48-024,36.0,25.0,17.180181320310833,22.101217057016097,47.1012170570161,47.1012170570161,0.1705
36-687,LA4765,36.0,50.2,20.99059401246216,25.09817687142053,75.29817687142054,75.29817687142054,0.167
36-687,LA4003,36.0,35.0,19.4522787265704,23.786220107053225,58.786220107053225,58.786220107053225,0.165
36-687,84-277,36.0,25.0,17.23574405030247,21.55815578770422,46.55815578770422,46.55815578770422,0.1615
36-687,LA4002,36.0,25.0,17.26231316574153,21.575797409023473,46.57579740902347,46.57579740902347,0.1575
36-687,48-669,36.0,36.0,19.309084043460135,23.485246827023047,59.48524682702305,59.48524682702305,0.1575
36-686,84-280,27.0,60.0,16.100311912048447,20.994935222174544,80.99493522217455,80.99493522217455,0.148
36-687,48-027,36.0,50.0,21.075196891550018,25.44752868251618,75.44752868251618,75.44752868251618,0.147
36-687,LA4042,36.0,60.0,21.747239705600503,25.795021756585406,85.79502175658541,85.79502175658541,0.146
36-687,48-026,36.0,40.0,19.967361659079646,24.120400335430695,64.1204003354307,64.1204003354307,0.1455
36-687,36-682,36.0,20.0,15.106309716805375,20.540552515564933,40.54055251556493,40.54055251556493,0.1375
36-687,36-684,36.0,72.0,22.409529563306464,27.249414215198417,99.24941421519841,99.24941421519841,0.137
36-687,LA4647,36.0,20.1,15.458516625828683,21.220342193968598,41.3203421939686,41.3203421939686,0.134
36-686,LA4001,27.0,15.0,10.596840705432797,18.341244087336808,33.341244087336804,33.341244087336804,0.1285
36-687,84-280,36.0,60.0,21.768397545357722,25.71284095342003,85.71284095342003,85.71284095342003,0.1285
36-686,84-281,27.0,75.0,16.64716585742419,21.548369749501198,96.5483697495012,96.5483697495012,0.1215
36-686,LA4042,27.0,60.0,22.56555815006958,24.574857548216023,84.57485754821602,84.57485754821602,0.121
36-687,45-694,36.0,18.0,14.696373861079186,19.01508089061405,37.01508089061405,37.01508089061405,0.1195
36-687,84-281,36.0,75.0,22.680579546501555,26.765052249476383,101.76505224947638,101.76505224947638,0.1175
36-687,36-683,36.0,25.0,16.335665265974566,29.658353009779894,54.658353009779894,54.658353009779894,0.117
36-687,36-685,36.0,84.0,22.950340956376248,27.154894836499718,111.15489483649972,111.15489483649972,0.1155
36-687,48-668,36.0,18.0,14.910780688280425,19.31278274172853,37.312782741728526,37.312782741728526,0.114
36-687,LA4327,36.0,75.3,22.536767838497823,29.491972291758522,104.79197229175853,104.79197229175853,0.1135
36-687,36-681,36.0,22.0,16.080802065574172,20.376048623383888,42.37604862338389,42.37604862338389,0.1065
36-687,48-666,36.0,12.0,10.002402159994112,16.22547572586864,28.22547572586864,28.22547572586864,0.104
36-688,48-024,54.0,25.0,23.359739278618036,31.525337807328828,56.525337807328825,56.525337807328825,0.101
36-687,45-693,36.0,13.5,11.405018914079662,15.910400061010598,29.4104000610106,29.4104000610106,0.0995
36-688,36-682,54.0,20.0,20.590425650226468,23.934977958020248,43.93497795802025,43.93497795802025,0.0935
36-687,48-667,36.0,36.0,19.25739746735132,23.666791628261176,59.66679162826118,59.66679162826118,0.086
36-687,LA4917,36.0,15.1,12.507295013109909,16.876065363595966,31.976065363595964,31.976065363595964,0.0855
36-687,LA4194,36.0,20.1,15.086157262141683,19.381326431945727,39.48132643194573,39.48132643194573,0.0855
36-687,48-664,36.0,15.0,12.253319650417902,16.626364776682045,31.626364776682045,31.626364776682045,0.0825
36-687,LA4001,36.0,15.0,13.802313158338222,18.20511715377746,33.205117153777465,33.205117153777465,0.081
36-687,48-028,36.0,100.0,23.483714697501174,27.70907250037116,127.70907250037116,127.70907250037116,0.08
36-686,LA4327,27.0,75.3,15.88573350185226,20.153629614143977,95.45362961414398,95.45362961414398,0.077
36-688,45-693,54.0,13.5,14.477588031164952,17.87199090698674,31.37199090698674,31.37199090698674,0.0725
36-687,89-411,36.0,10.0,9.740557229600572,14.135038283349187,24.13503828334919,24.13503828334919,0.072
36-687,45-692,36.0,18.0,13.96358595985669,18.893231640269725,36.893231640269725,36.893231640269725,0.0685
36-687,LA4249,36.0,10.0,10.119660189247703,14.562639481896353,24.562639481896355,24.562639481896355,0.0645
36-688,36-683,54.0,25.0,23.790481939214033,27.103542923249847,52.10354292324985,52.10354292324985,0.058
36-687,45-691,36.0,12.0,9.701333091579514,21.2538087876046,33.2538087876046,33.2538087876046,0.0535
36-687,LA4966,36.0,30.1,18.692241724199317,22.88002986524896,52.980029865248966,52.980029865248966,0.0525
36-687,36-679,36.0,21.0,16.010881739151856,20.310143175698087,41.31014317569809,41.31014317569809,0.046
36-688,48-667,54.0,36.0,27.831172947570384,32.46277789623743,68.46277789623743,68.46277789623743,0.046
36-687,89-413,36.0,20.0,14.687885308649602,18.967542335874896,38.967542335874896,38.967542335874896,0.0415
36-688,LA4966,54.0,30.1,9.836807457159159,10.077232689670277,40.17723268967028,40.17723268967028,0.009
36-687,36-680,36.0,36.0,9.701785976341075,10.035040203047355,46.03504020304736,46.03504020304736,0.0075
36-687,89-414,36.0,25.0,9.788802876158117,10.89516448257547,35.89516448257547,35.89516448257547,0.007
36-688,48-665,54.0,24.0,9.829826916492003,10.354746729016535,34.35474672901653,34.35474672901653,0.0065
36-688,36-679,54.0,21.0,9.734668832640734,9.892013192087932,30.89201319208793,30.89201319208793,0.006
36-687,45-695,36.0,27.0,9.72272099738415,9.990183860745672,36.990183860745674,36.990183860745674,0.005
36-687,48-665,36.0,24.0,9.769407252241432,10.617750050550736,34.61775005055074,34.61775005055074,0.0045
36-688,45-695,54.0,27.0,9.701681139316094,10.174391832475914,37.17439183247591,37.17439183247591,0.0035
36-687,89-412,36.0,15.0,9.811744358663526,9.999391573376794,24.999391573376794,24.999391573376794,0.003
36-688,45-692,54.0,18.0,9.810648835568744,10.871636572217602,28.871636572217604,28.871636572217604,0.003
36-688,48-664,54.0,15.0,9.706723350865902,10.13984734135307,25.139847341353068,25.139847341353068,0.0025
36-688,LA4917,54.0,15.1,9.795438105797517,10.201250755671648,25.301250755671646,25.301250755671646,0.0025
36-688,36-681,54.0,22.0,9.89628430963435,10.393399689106671,32.39339968910667,32.39339968910667,0.0025
36-688,LA4194,54.0,20.1,44.2,44.333818284941216,64.43381828494122,64.43381828494122,0.0025
36-687,70-885,36.0,9.0,9.814561354993431,10.215099459482495,19.215099459482495,19.215099459482495,0.002
36-688,89-413,54.0,20.0,9.707180021541767,10.040961261100968,30.040961261100968,30.040961261100968,0.002
36-687,LA4280,36.0,10.0,9.737090666359613,9.876542040083333,19.876542040083333,19.876542040083333,0.0015
36-687,LA4039,36.0,9.0,9.770013223439669,10.977558104540936,19.977558104540936,19.977558104540936,0.0015
36-688,89-412,54.0,15.0,9.786612677826616,10.066137728360232,25.066137728360232,25.066137728360232,0.0015
36-688,70-882,54.0,4.0,9.720486285134221,10.256554222234218,14.256554222234218,14.256554222234218,0.001
36-687,70-882,36.0,4.0,9.784854525208356,11.348786509651088,15.348786509651088,15.348786509651088,0.001
36-688,70-883,54.0,6.0,9.88291196058219,10.173081859968189,16.17308185996819,16.17308185996819,0.001
36-687,LA4036,36.0,6.0,9.707514857473583,11.01143716268379,17.01143716268379,17.01143716268379,0.001
36-687,70-884,36.0,6.0,9.723643492325323,11.16948179959752,17.16948179959752,17.16948179959752,0.001
36-688,89-411,54.0,10.0,9.749184071267775,9.88114991106352,19.88114991106352,19.88114991106352,0.001
36-688,45-690,54.0,9.0,9.927283882719063,11.091754012353572,20.091754012353572,20.091754012353572,0.001
36-688,36-680,54.0,36.0,9.773726078569961,16.48792790244065,52.487927902440646,52.487927902440646,0.001
36-688,89-414,54.0,25.0,42.963932050311996,43.21671595938265,68.21671595938264,68.21671595938264,0.001
36-687,70-883,36.0,6.0,9.758622234463552,10.722554168604283,16.722554168604283,16.722554168604283,0.0005
36-688,LA4280,54.0,10.0,9.707180021541767,9.971111867626512,19.97111186762651,19.97111186762651,0.0005
36-687,70-886,36.0,8.0,29.8,29.914708293334215,37.914708293334215,37.914708293334215,0.0005
36-687,70-888,36.0,12.0,30.8,31.005548435497214,43.00554843549722,43.00554843549722,0.0005
36-688,LA4026,54.0,6.0,44.2,44.30983000960874,50.30983000960874,50.30983000960874,0.0005
36-688,48-666,54.0,12.0,43.581966,43.77129923679467,55.77129923679467,55.77129923679467,0.0005
36-688,LA4024,54.0,4.0,9.703292248674428,11.121326148050423,15.121326148050423,15.121326148050423,0.0
36-687,LA4024,36.0,4.0,9.784854525208356,11.348786509651088,15.348786509651088,15.348786509651088,0.0
36-688,LA4036,54.0,6.0,9.708605389771451,10.272477734777647,16.272477734777645,16.272477734777645,0.0
36-687,LA4026,36.0,6.0,9.784854525208356,11.130752484505084,17.130752484505084,17.130752484505084,0.0
36-687,45-690,36.0,9.0,9.758224616662073,10.96576949776334,19.96576949776334,19.96576949776334,0.0
36-688,70-884,54.0,6.0,44.2,44.30983000960874,50.30983000960874,50.30983000960874,0.0
36-688,70-886,54.0,8.0,44.2,44.31470829333421,52.31470829333421,52.31470829333421,0.0
36-688,LA4249,54.0,10.0,42.963932050311996,43.13829179493911,53.13829179493911,53.13829179493911,0.0
36-688,45-691,54.0,12.0,41.873762131718514,42.05355819725291,54.05355819725291,54.05355819725291,0.0
36-688,70-885,54.0,9.0,45.2,45.30156642116514,54.30156642116514,54.30156642116514,0.0
36-688,LA4039,54.0,9.0,45.2,45.30156642116514,54.30156642116514,54.30156642116514,0.0
36-688,70-888,54.0,12.0,44.2,44.44523899500421,56.44523899500421,56.44523899500421,0.0
36-688,45-694,54.0,18.0,44.2,44.42497951485107,62.42497951485107,62.42497951485107,0.0
