Item #,Title,Diameter (mm),Center Thickness (mm),Edge Thickness (mm),Focal Length (mm),Back Focal Length (mm),Numerical Aperture,f/#,Back Surface Shape,Radius R2 (mm),Asphere Diameter (mm),Substrate,Coating,Wavelength Range (nm),Radius R1 (mm),Lens Type
72-498,"7.5mm Dia. x 6.6mm FL, Aspheric Condenser Lens, NIR I",7.5000,3.5000,1.1800,6.6000,4.3000,0.5700,0.8800,Plano ,∞ ,7.5000,H-K51 ,NIR I (600-1050nm) ,350 - 700 ,,Plano 
43-481,"9.5mm Diameter x 9.5mm FL, PCX Condenser Lens",9.5000,4.7500,,9.5000,,0.5000,1.0000,Plano ,Plano ,,Float Glass ,Uncoated ,350 - 2000 ,,Plano 
15-528,"9.5mm Diameter x 9.5mm FL, MgF2 Coated, PCX Condenser Lens",9.5000,4.7500,,9.5000,,0.5000,1.0000,Plano ,Plano ,,Float Glass ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
43-985,"10.5mm Diameter x 9.45mm FL, Aspheric Condenser Lens",10.5000,3.8000,1.1000,9.4500,8.1000,0.5600,0.9000,Plano ,Plano ,10.5000,N-F2 ,Uncoated ,350 - 2500 ,,Plano 
15-530,"10.5mm Diameter x 9.45mm FL, MgF2 Coated, Aspheric Condenser Lens",10.5000,3.8000,1.1000,9.4500,8.1000,0.5600,0.9000,Plano ,Plano ,10.5000,N-F2 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
19-511,"12mm Dia. x 19mm FL, Aspheric Condenser Lens",12.0000,5.0000,3.1200,19.0000,15.7000,0.3200,1.5800,Plano ,∞ ,12.0000,H-K51 ,Uncoated ,350 - 2000 ,,Plano 
21-194,"12mm Dia. x 19mm FL, MgF2 Coated, Aspheric Condenser Lens",12.0000,5.0000,3.1200,19.0000,15.7000,0.3200,1.5800,Plano ,∞ ,12.0000,H-K51 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
72-482,"12mm Dia. x 19mm FL, Aspheric Condenser Lens, VIS-EXT",12.0000,5.0000,3.1200,19.0000,15.7000,0.3200,1.5800,Plano ,∞ ,12.0000,H-K51 ,VIS-EXT (350-700nm) ,350 - 700 ,,Plano 
72-501,"12mm Dia. x 19mm FL, Aspheric Condenser Lens, NIR I",12.0000,5.0000,3.1200,19.0000,15.7000,0.3200,1.5800,Plano ,∞ ,12.0000,H-K51 ,NIR I (600-1050nm) ,350 - 700 ,,Plano 
43-370,"12.7mm Diameter x 15mm FL, PCX Condenser Lens",12.7000,4.5200,,15.0000,,0.4200,1.1800,Plano ,Plano ,,Float Glass ,Uncoated ,350 - 2000 ,,Plano 
15-529,"12.7mm Diameter x 15mm FL, MgF2 Coated, PCX Condenser Lens",12.7000,4.5200,,15.0000,,0.4200,1.1800,Plano ,Plano ,,Float Glass ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
19-513,"12.9mm Dia. x 14mm FL, Aspheric Condenser Lens",12.9000,5.7000,2.5200,14.0000,10.2000,0.4600,1.0900,Plano ,∞ ,12.9000,H-K9L ,Uncoated ,330 - 2000 ,,Plano 
