lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,orientation,medium
84-277,84-280,differential_evolution,150.0,0.362,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,160.0,0.377,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,170.0,0.386,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,180.0,0.382,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,190.0,0.377,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,200.0,0.355,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,210.0,0.349,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,220.0,0.358,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,230.0,0.372,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,240.0,0.369,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,250.0,0.368,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,260.0,0.394,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,270.0,0.355,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,280.0,0.392,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,290.0,0.344,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,differential_evolution,300.0,0.381,77.94132646721204,12.92977379478484,17.941326467212036,77.94132646721204,SfccfF,argon
84-277,84-280,dual_annealing,150.0,0.378,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,160.0,0.358,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,170.0,0.392,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,180.0,0.369,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,190.0,0.375,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,200.0,0.399,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,210.0,0.386,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,220.0,0.352,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,230.0,0.387,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,240.0,0.383,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,250.0,0.364,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,260.0,0.383,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,270.0,0.37,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,280.0,0.385,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,290.0,0.383,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,dual_annealing,300.0,0.378,77.68362039261358,12.933174848686583,17.683620392613573,77.68362039261358,SfccfF,argon
84-277,84-280,nelder_mead,150.0,0.377,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,160.0,0.367,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,170.0,0.354,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,180.0,0.369,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,190.0,0.372,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,200.0,0.374,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,210.0,0.387,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,220.0,0.401,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,230.0,0.371,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,240.0,0.376,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,250.0,0.38,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,260.0,0.403,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,270.0,0.381,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,280.0,0.391,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,290.0,0.399,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,nelder_mead,300.0,0.391,78.48189907073966,12.928550958633423,18.481899070739658,78.48189907073966,SfccfF,argon
84-277,84-280,powell,150.0,0.345,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,160.0,0.365,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,170.0,0.356,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,180.0,0.354,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,190.0,0.349,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,200.0,0.368,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,210.0,0.38,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,220.0,0.351,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,230.0,0.354,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,240.0,0.349,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,250.0,0.363,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,260.0,0.365,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,270.0,0.362,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,280.0,0.365,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,290.0,0.373,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,powell,300.0,0.351,77.91528308878577,12.92640897706962,17.915283088785767,77.91528308878577,SfccfF,argon
84-277,84-280,grid_search,150.0,0.16,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,160.0,0.167,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,170.0,0.138,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,180.0,0.145,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,190.0,0.155,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,200.0,0.16,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,210.0,0.153,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,220.0,0.146,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,230.0,0.152,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,240.0,0.134,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,250.0,0.157,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,260.0,0.181,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
84-277,84-280,grid_search,270.0,0.165,144.33333333333334,14.333333333333332,84.33333333333334,144.33333333333334,ScffcF,argon
