lens1,lens2,method,coupling,total_len_mm,z_l1,z_l2,z_fiber,f1_mm,f2_mm,orientation,time_seconds
36-686,84-279,dual_annealing,0.4425,63.98930981542326,12.989112133599765,18.989309815423262,63.98930981542326,27.0,45.0,SfccfF,2.2308051586151123
36-686,84-279,nelder_mead,0.4235,63.90381114385891,12.903749380980212,18.90381114385891,63.90381114385891,27.0,45.0,SfccfF,0.18211817741394043
36-686,84-279,powell,0.4235,64.72393731561985,12.812226165816446,19.723937315619857,64.72393731561985,27.0,45.0,SfccfF,0.1493844985961914
36-686,84-279,differential_evolution,0.42,63.91835409408466,12.811762755340396,18.918354094084663,63.91835409408466,27.0,45.0,SfccfF,0.7803723812103271
36-686,84-279,bayesian,0.341,87.85078129278702,12.49067818361088,42.85078129278702,87.85078129278702,27.0,45.0,SfccfF,16.327164888381958
36-686,84-279,grid_search,0.316,69.18333333333334,13.55,24.18333333333333,69.18333333333334,27.0,45.0,SfccfF,0.3337819576263428
