lens1,lens2,method,coupling,total_len_mm,z_l1,z_l2,z_fiber,f1_mm,f2_mm,orientation,time_seconds
84-282,LA4078,dual_annealing,0.2037016886235591,84.7662387253241,28.15430583903521,35.65442271141984,110.7662387253241,50.0,75.3,SfccfF,10.113884925842283
84-282,LA4078,powell,0.1979889763487025,85.28189698502467,28.10429586259226,35.9819967256168,111.28189698502467,50.0,75.3,SfccfF,0.6300158500671387
84-282,LA4078,differential_evolution,0.1952079938702739,85.12073726908454,28.1174529736588,35.86939877919488,111.12073726908454,50.0,75.3,SfccfF,2.542186498641968
84-282,LA4078,nelder_mead,0.1951220664500298,84.93430992939528,28.11052822243561,35.6473525942549,110.93430992939528,50.0,75.3,SfccfF,0.7628607749938965
84-282,LA4078,grid_search,0.1434763448989588,176.66749382149573,27.0,127.4,202.66749382149573,50.0,75.3,SfccfF,0.5620791912078857
