z_l1,z_l2,z_fiber,coupling,fiber_position_method,lens1,lens2,f1_mm,f2_mm,total_len_mm,orientation
27.0,35.837500000000006,95.85090763893284,0.2204205725027906,optimized,LA4148,LA4022,50.2,60.0,69.85090763893284,SfccfF
27.0,35.837500000000006,93.267493078281,0.2187669941492649,optimized,84-282,48-670,50.0,60.0,67.267493078281,SfccfF
27.0,35.837500000000006,93.8024720849152,0.2172986538229185,optimized,84-282,84-283,50.0,60.0,67.8024720849152,SfccfF
27.0,35.837500000000006,93.45559123442936,0.216768994148406,optimized,84-282,LA4022,50.0,60.0,67.45559123442936,SfccfF
27.0,44.575,104.3951250123034,0.2143506437126602,optimized,LA4148,84-283,50.2,60.0,78.3951250123034,SfccfF
27.0,35.837500000000006,95.66521333621417,0.2096793756678763,optimized,LA4148,48-670,50.2,60.0,69.66521333621417,SfccfF
29.0,39.55,110.62769183874788,0.2001541433009318,optimized,48-274,LA4725,50.0,75.3,84.62769183874788,SfccfF
29.012500000000003,39.55,114.62051052085722,0.1942239429552496,optimized,LA4148,LA4078,50.2,75.3,88.62051052085722,SfccfF
27.0,59.87500000000001,134.6003427611917,0.1912710398712242,optimized,84-282,48-275,50.0,75.0,108.60034276119171,SfccfF
27.0,64.65,139.38623068210683,0.1842761392030256,optimized,84-282,LA4725,50.0,75.3,113.38623068210683,SfccfF
27.0,48.95,122.2179872677622,0.1832444256737874,optimized,LA4464,67-223,60.2,75.0,96.2179872677622,SfccfF
27.0,49.0375,123.18057897719056,0.1830126681369906,optimized,LA4464,LA4078,60.2,75.3,97.18057897719056,SfccfF
29.012500000000003,64.5,135.01539481846507,0.1743750231689768,optimized,LA4148,48-275,50.2,75.0,109.01539481846507,SfccfF
27.0,53.325,141.37919562071235,0.1735393392988943,optimized,LA4464,84-284,60.2,90.0,115.37919562071235,SfccfF
34.875,63.81250000000001,138.55156838060643,0.162894940251249,optimized,84-283,67-223,60.0,75.0,112.55156838060643,SfccfF
34.875,51.6625,125.87525767591356,0.1612090035097551,optimized,LA4022,LA4725,60.0,75.3,99.87525767591356,SfccfF
34.875,76.225,151.38117363418507,0.1581297975467971,optimized,84-283,LA4078,60.0,75.3,125.38117363418507,SfccfF
27.0,114.5,189.3870931194929,0.1573950065139245,optimized,84-282,67-223,50.0,75.0,163.3870931194929,SfccfF
29.012500000000003,114.5,186.5848381194388,0.1551319916957645,optimized,LA4148,67-223,50.2,75.0,160.5848381194388,SfccfF
34.875,88.2875,163.3321370490559,0.1446236169318025,optimized,LA4022,67-223,60.0,75.0,137.3321370490559,SfccfF
27.0,127.4,202.66749382149573,0.1434763448989588,optimized,84-282,LA4078,50.0,75.3,176.66749382149573,SfccfF
27.0,93.66666666666666,193.51965285192117,0.1401767447571408,optimized,LA4464,67-224,60.2,100.0,167.51965285192117,SfccfF
27.0,132.0,221.75909013333077,0.1318628382249477,optimized,84-282,84-284,50.0,90.0,195.75909013333077,SfccfF
29.0,97.23333333333336,155.15662653032865,0.1285534574241074,optimized,84-282,LA4464,50.0,60.2,129.15662653032865,SfccfF
27.0,102.3,177.4882933878322,0.1256115300467133,optimized,LA4148,LA4725,50.2,75.3,151.4882933878322,SfccfF
29.0,137.36666666666667,195.94340558729112,0.0987205609612317,optimized,48-274,LA4464,50.0,60.2,169.94340558729112,SfccfF
32.25,97.0,154.4878453882464,0.0981794689080089,optimized,84-283,LA4022,60.0,60.0,128.4878453882464,SfccfF
29.012500000000003,137.36666666666667,196.1090925425549,0.0951386449163337,optimized,LA4148,LA4464,50.2,60.2,170.1090925425549,SfccfF
27.0,227.0,326.7362975311524,0.0928650033386606,optimized,84-282,LA4545,50.0,100.0,300.7362975311524,SfccfF
