lens1,lens2,method,coupling,total_len_mm,z_l1,z_l2,z_fiber,f1_mm,f2_mm,orientation,time_seconds
84-282,LA4464,nelder_mead,0.20705557173468334,95.89422177567874,28.19957263429677,35.70363513230845,95.89422177567874,50.0,60.2,SfccfF,0.6804275512695312
84-282,LA4464,dual_annealing,0.20275837443435712,95.97105713059493,28.201879245008286,35.78726463428634,95.97105713059493,50.0,60.2,SfccfF,9.853418588638306
84-282,LA4464,powell,0.1958487094653354,96.02405666235654,28.195048165184616,35.825510163052435,96.02405666235654,50.0,60.2,SfccfF,0.4357593059539795
84-282,LA4464,differential_evolution,0.19448574658716672,95.87242186134613,28.309756866635773,35.933542728188755,95.87242186134613,50.0,60.2,SfccfF,2.1221413612365723
84-282,LA4464,grid_search,0.12855345742410743,155.15662653032865,29.0,97.23333333333335,155.15662653032865,50.0,60.2,SfccfF,0.5388450622558594
