z_l1,z_l2,z_fiber,coupling,accepted,lens1,lens2,f1_mm,f2_mm,total_len_mm
29.775000000000002,503.1333333333333,678.1333333333333,0.14966666666666667,[False False False ... False False False],84-280,LA4034,60.0,175.0,678.1333333333333
29.775000000000002,503.1333333333333,678.1333333333333,0.1475,[False False False ...  True False False],LA4042,LA4034,60.0,175.0,678.1333333333333
36.46666666666667,316.4666666666667,436.4666666666667,0.1355,[False False False ... False False False],LA4042,84-285,60.0,120.0,436.4666666666667
36.46666666666667,316.4666666666667,436.4666666666667,0.13533333333333333,[ True False False ... False False  True],84-280,84-285,60.0,120.0,436.4666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.13266666666666665,[False False False ... False False False],84-280,48-670,60.0,60.0,106.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.13233333333333333,[False False False ...  True False False],LA4042,48-670,60.0,60.0,106.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.13233333333333333,[False False  True ... False  True False],84-280,LA4022,60.0,60.0,106.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.13183333333333333,[False False False ... False  True  True],LA4042,LA4022,60.0,60.0,106.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.13033333333333333,[False False  True ... False  True False],84-280,84-283,60.0,60.0,106.46666666666667
36.46666666666667,561.4666666666667,736.4666666666667,0.12916666666666668,[False False False ... False False False],84-280,48-279,60.0,175.0,736.4666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.12683333333333333,[False False  True ... False  True False],LA4042,84-283,60.0,60.0,106.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.126,[False False False ... False False False],LA4042,LA4042,60.0,60.0,106.46666666666667
36.46666666666667,561.4666666666667,736.4666666666667,0.126,[False False  True ... False False False],LA4042,48-279,60.0,175.0,736.4666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.12566666666666668,[False  True False ...  True False False],84-280,49-963,60.0,60.0,106.46666666666667
36.46666666666667,66.46666666666667,126.46666666666667,0.121,[False False  True ... False False False],LA4042,49-963,60.0,60.0,126.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.12033333333333333,[False False False ... False False False],LA4042,84-280,60.0,60.0,106.46666666666667
33.46666666666667,63.46666666666667,123.46666666666667,0.1195,[False False False ... False False  True],36-688,LA4042,54.0,60.0,123.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.11783333333333333,[False False False ... False False False],84-280,LA4042,60.0,60.0,106.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.11633333333333333,[False False False ... False False False],84-280,84-280,60.0,60.0,106.46666666666667
36.46666666666667,63.46666666666667,117.46666666666667,0.1155,[False False False ... False False False],84-280,36-688,60.0,54.0,117.46666666666667
36.46666666666667,45.46666666666667,99.46666666666667,0.11316666666666667,[False False False ... False False False],LA4042,36-688,60.0,54.0,99.46666666666667
29.775000000000002,88.96666666666667,133.96666666666667,0.10566666666666667,[False False False ... False False False],84-280,84-279,60.0,45.0,133.96666666666667
36.46666666666667,197.0,257.2,0.102,[False False False ... False  True False],LA4042,LA4464,60.0,60.2,257.2
29.775000000000002,88.96666666666667,133.96666666666667,0.101,[False False False ... False False False],LA4042,84-279,60.0,45.0,133.96666666666667
36.46666666666667,106.69999999999999,166.89999999999998,0.1,[False False False ... False False False],84-280,LA4464,60.0,60.2,166.89999999999998
29.775000000000002,36.46666666666667,66.46666666666667,0.09283333333333334,[False  True False ... False  True False],84-280,49-959,60.0,30.0,66.46666666666667
28.343749999999996,36.63333333333334,66.73333333333335,0.09066666666666667,[False  True False ... False False False],36-688,LA4966,54.0,30.1,66.73333333333335
36.46666666666667,42.8,80.8,0.08983333333333333,[False  True False ... False False False],LA4042,48-273,60.0,38.0,80.8
36.46666666666667,55.46666666666667,93.46666666666667,0.0875,[False False False ... False False False],84-280,48-273,60.0,38.0,93.46666666666667
29.775000000000002,36.46666666666667,66.46666666666667,0.08716666666666667,[False False  True ... False False False],LA4042,49-959,60.0,30.0,66.46666666666667
24.924999999999997,35.58333333333333,60.58333333333333,0.0855,[False  True False ... False False  True],LA4042,36-683,60.0,25.0,60.58333333333333
