z_l1,z_l2,z_fiber,coupling,accepted,lens1,lens2,f1_mm,f2_mm,total_len_mm
5.433333333333333,69.9,100.0,0.3715,[False False False ...  True False False],48-664,LA4966,15.0,30.1,100.0
5.433333333333333,69.9,100.0,0.3265,[ True False False ... False  True False],48-664,LA4936,15.0,30.1,100.0
5.433333333333333,69.7,99.7,0.324,[False False False ...  True  True False],48-664,84-278,15.0,30.0,99.7
5.433333333333333,55.53333333333333,80.53333333333333,0.318,[False  True False ... False False False],48-664,36-683,15.0,25.0,80.53333333333333
5.433333333333333,69.7,99.7,0.31533333333333335,[ True  True  True ... False False False],48-664,48-025,15.0,30.0,99.7
6.499999999999999,104.7,134.7,0.30566666666666664,[False False  True ...  True False False],48-664,49-959,15.0,30.0,134.7
6.499999999999999,84.7,109.7,0.3055,[False  True False ...  True False False],48-664,84-277,15.0,25.0,109.7
5.433333333333333,122.19999999999999,167.2,0.30233333333333334,[False False False ... False False False],48-664,84-279,15.0,45.0,167.2
6.499999999999999,104.7,134.7,0.29983333333333334,[ True  True False ...  True  True False],48-664,LA4021,15.0,30.0,134.7
6.499999999999999,53.25000000000001,73.35000000000001,0.2996666666666667,[False  True False ... False False  True],48-664,LA4647,15.0,20.1,73.35000000000001
5.433333333333333,179.7,239.7,0.2981666666666667,[False  True  True ... False False  True],48-664,LA4042,15.0,60.0,239.7
6.499999999999999,84.7,109.7,0.29583333333333334,[False False  True ...  True False False],48-664,LA4002,15.0,25.0,109.7
8.258333333333333,59.7,89.7,0.292,[False False False ...  True  True  True],45-692,49-959,18.0,30.0,89.7
5.433333333333333,179.7,239.7,0.2915,[False  True False ... False False  True],48-664,84-280,15.0,60.0,239.7
6.499999999999999,130.03333333333333,168.03333333333333,0.28983333333333333,[False False False ...  True  True False],48-664,48-273,15.0,38.0,168.03333333333333
5.433333333333333,153.7,207.7,0.28983333333333333,[False  True False ... False False False],48-664,36-688,15.0,54.0,207.7
6.499999999999999,84.7,109.7,0.289,[False False False ... False False False],48-664,48-024,15.0,25.0,109.7
8.258333333333333,117.36666666666666,155.36666666666667,0.28833333333333333,[False  True  True ... False False False],45-692,48-273,18.0,38.0,155.36666666666667
8.258333333333333,44.7,74.7,0.2875,[ True False  True ...  True False False],45-692,84-278,18.0,30.0,74.7
6.499999999999999,199.7,259.7,0.28683333333333333,[False False False ... False False  True],48-664,84-283,15.0,60.0,259.7
5.433333333333333,179.7,239.7,0.2851666666666667,[False False False ... False False  True],48-664,49-963,15.0,60.0,239.7
8.258333333333333,44.7,74.7,0.28,[False False False ... False False False],45-692,48-025,18.0,30.0,74.7
6.499999999999999,189.7,249.7,0.2786666666666667,[False False False ... False False False],48-664,48-670,15.0,60.0,249.7
6.499999999999999,199.7,259.7,0.2781666666666667,[ True False False ... False False False],48-664,LA4022,15.0,60.0,259.7
8.258333333333333,55.53333333333333,80.53333333333333,0.27266666666666667,[False False False ... False False False],45-692,LA4002,18.0,25.0,80.53333333333333
8.258333333333333,30.533333333333335,55.53333333333333,0.27216666666666667,[False False False ...  True False False],45-692,84-277,18.0,25.0,55.53333333333333
8.258333333333333,44.81666666666666,74.91666666666666,0.2718333333333333,[False  True False ... False  True False],45-692,LA4936,18.0,30.1,74.91666666666666
8.258333333333333,55.53333333333333,80.53333333333333,0.27066666666666667,[ True  True False ... False False False],45-692,48-024,18.0,25.0,80.53333333333333
8.258333333333333,18.03333333333333,43.03333333333333,0.26966666666666667,[ True False False ... False False False],45-692,36-683,18.0,25.0,43.03333333333333
8.258333333333333,39.8,69.9,0.269,[False False False ... False False  True],45-692,LA4966,18.0,30.1,69.9
8.258333333333333,13.866666666666665,38.86666666666667,0.26566666666666666,[False False  True ... False False  True],45-692,89-414,18.0,25.0,38.86666666666667
6.183333333333332,66.7,84.7,0.263,[False  True  True ...  True False False],45-693,48-668,13.5,18.0,84.7
6.499999999999999,46.550000000000004,66.65,0.261,[False  True False ... False False  True],48-664,LA4194,15.0,20.1,66.65
8.258333333333333,94.7,124.7,0.2608333333333333,[False  True False ... False False  True],45-692,LA4021,18.0,30.0,124.7
6.183333333333332,66.65,86.75,0.25316666666666665,[ True False  True ... False False False],45-693,LA4647,13.5,20.1,86.75
8.258333333333333,13.049999999999999,33.15,0.251,[ True False False ... False False False],45-692,LA4194,18.0,20.1,33.15
6.8166666666666655,21.7,39.7,0.2445,[ True  True  True ... False False False],45-692,45-692,18.0,18.0,39.7
6.183333333333332,66.7,84.7,0.24416666666666667,[False False False ... False False False],45-693,45-694,13.5,18.0,84.7
6.183333333333332,88.86666666666667,113.86666666666667,0.24383333333333335,[False False False ... False False  True],45-693,48-024,13.5,25.0,113.86666666666667
6.183333333333332,66.7,84.7,0.2385,[ True False  True ... False False False],45-693,45-692,13.5,18.0,84.7
6.183333333333332,88.86666666666667,113.86666666666667,0.234,[False  True False ... False False  True],45-693,36-683,13.5,25.0,113.86666666666667
8.258333333333333,12.7,30.7,0.23316666666666666,[ True False False ... False  True  True],45-692,45-694,18.0,18.0,30.7
8.258333333333333,12.7,30.7,0.22683333333333333,[False False  True ...  True  True  True],45-692,48-668,18.0,18.0,30.7
6.183333333333332,73.35000000000001,93.45000000000002,0.22483333333333333,[ True False False ... False False False],45-693,LA4194,13.5,20.1,93.45000000000002
6.183333333333332,104.7,134.7,0.224,[False False False ...  True False False],45-693,48-025,13.5,30.0,134.7
7.5666666666666655,66.7,84.7,0.223,[False False False ...  True False False],48-664,48-668,15.0,18.0,84.7
6.183333333333332,88.86666666666667,113.86666666666667,0.2215,[ True False False ... False  True False],45-693,89-414,13.5,25.0,113.86666666666667
6.8166666666666655,9.7,23.2,0.21616666666666667,[False False False ... False False False],45-692,45-693,18.0,13.5,23.2
6.183333333333332,105.01666666666667,135.11666666666667,0.20866666666666667,[False False  True ... False False False],45-693,LA4966,13.5,30.1,135.11666666666667
7.062499999999998,52.45,65.95,0.20716666666666667,[False  True False ... False  True False],45-693,45-693,13.5,13.5,65.95
7.5666666666666655,66.7,84.7,0.20433333333333334,[False False False ... False False False],48-664,45-694,15.0,18.0,84.7
5.374999999999999,11.7,23.7,0.19833333333333333,[False False False ... False  True False],45-692,70-888,18.0,12.0,23.7
5.374999999999999,8.033333333333331,18.03333333333333,0.18533333333333332,[False False False ... False False False],45-692,LA4280,18.0,10.0,18.03333333333333
5.374999999999999,8.033333333333331,18.03333333333333,0.18483333333333332,[False False False ... False False False],45-692,89-411,18.0,10.0,18.03333333333333
5.374999999999999,8.033333333333331,18.03333333333333,0.184,[False  True False ... False  True False],45-692,LA4249,18.0,10.0,18.03333333333333
9.7,59.95,80.05000000000001,0.183,[ True False  True ... False  True False],45-692,LA4647,18.0,20.1,80.05000000000001
7.5666666666666655,66.7,84.7,0.18216666666666667,[False False False ... False False False],48-664,45-692,15.0,18.0,84.7
9.7,54.7,108.7,0.181,[False  True False ... False False  True],45-692,36-688,18.0,54.0,108.7
6.8166666666666655,9.7,21.7,0.17483333333333334,[False  True False ... False False False],45-692,45-691,18.0,12.0,21.7
9.7,99.69999999999999,159.7,0.174,[False False False ... False False False],45-692,LA4022,18.0,60.0,159.7
