z_l1,z_l2,z_fiber,coupling,accepted,lens1,lens2,f1_mm,f2_mm,total_len_mm
22.275,138.08333333333334,198.08333333333334,0.19366666666666665,[False  True False ... False  True False],49-961,84-283,40.0,60.0,198.08333333333334
22.275,39.13333333333333,77.13333333333333,0.18716666666666668,[False  True False ... False False False],49-961,48-273,40.0,38.0,77.13333333333333
22.275,128.08333333333334,188.08333333333334,0.18583333333333332,[False False False ... False False False],49-961,48-670,40.0,60.0,188.08333333333334
22.275,118.08333333333334,178.08333333333334,0.18516666666666667,[False  True  True ...  True False False],49-961,49-963,40.0,60.0,178.08333333333334
22.275,90.08333333333334,144.08333333333334,0.1835,[False False False ... False False False],49-961,36-688,40.0,54.0,144.08333333333334
22.275,118.08333333333334,178.08333333333334,0.1835,[False False False ...  True  True False],49-961,LA4042,40.0,60.0,178.08333333333334
22.275,128.08333333333334,188.08333333333334,0.18316666666666667,[False False False ...  True False False],49-961,LA4022,40.0,60.0,188.08333333333334
22.275,118.08333333333334,178.08333333333334,0.17883333333333334,[False  True False ... False False  True],49-961,84-280,40.0,60.0,178.08333333333334
33.46666666666667,163.9,224.10000000000002,0.15983333333333333,[False False False ... False False False],36-688,LA4464,54.0,60.2,224.10000000000002
27.525000000000002,558.4666666666667,733.4666666666667,0.15866666666666668,[False False False ... False False False],36-688,LA4034,54.0,175.0,733.4666666666667
22.275,85.58333333333334,130.58333333333334,0.15683333333333332,[False False False ... False False  True],49-961,84-279,40.0,45.0,130.58333333333334
22.275,398.0833333333333,518.0833333333333,0.15583333333333332,[False False False ... False False False],49-961,84-285,40.0,120.0,518.0833333333333
22.275,217.1,277.3,0.14516666666666667,[ True False  True ... False False  True],49-961,LA4464,40.0,60.2,277.3
18.083333333333332,522.3,697.3,0.138,[False False  True ... False False False],49-961,LA4034,40.0,175.0,697.3
36.46666666666667,66.46666666666667,126.46666666666667,0.1365,[False False False ... False False False],49-963,LA4022,60.0,60.0,126.46666666666667
33.46666666666667,293.4666666666667,413.4666666666667,0.1365,[False False False ... False False  True],36-688,84-285,54.0,120.0,413.4666666666667
22.275,36.46666666666667,66.46666666666667,0.13583333333333333,[False False False ... False False False],49-961,LA4021,40.0,30.0,66.46666666666667
22.275,31.46666666666667,61.46666666666667,0.13216666666666665,[False False False ... False False  True],49-961,49-959,40.0,30.0,61.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.13016666666666668,[False False False ... False  True False],49-963,48-670,60.0,60.0,106.46666666666667
22.275,33.13333333333334,63.23333333333334,0.12866666666666668,[False False False ... False False False],49-961,LA4966,40.0,30.1,63.23333333333334
33.46666666666667,63.46666666666667,123.46666666666667,0.126,[False False False ...  True  True False],36-688,84-283,54.0,60.0,123.46666666666667
36.46666666666667,46.46666666666667,106.46666666666667,0.12333333333333334,[False  True  True ... False  True False],49-963,84-280,60.0,60.0,106.46666666666667
36.46666666666667,561.4666666666667,736.4666666666667,0.12333333333333334,[ True  True False ... False False  True],49-963,48-279,60.0,175.0,736.4666666666667
18.083333333333332,38.916666666666664,63.916666666666664,0.1225,[False False False ... False False False],49-961,LA4002,40.0,25.0,63.916666666666664
33.46666666666667,43.46666666666667,103.46666666666667,0.12166666666666667,[False False  True ... False False False],36-688,48-670,54.0,60.0,103.46666666666667
27.525000000000002,85.96666666666667,130.96666666666667,0.12066666666666667,[False False False ... False False False],36-688,84-279,54.0,45.0,130.96666666666667
18.083333333333332,34.74999999999999,59.74999999999999,0.12,[False False False ... False False False],49-961,36-683,40.0,25.0,59.74999999999999
22.275,43.08333333333333,73.08333333333333,0.11933333333333333,[False False False ... False False False],49-961,48-025,40.0,30.0,73.08333333333333
36.46666666666667,66.46666666666667,126.46666666666667,0.1185,[False False False ... False False False],49-963,LA4042,60.0,60.0,126.46666666666667
22.275,43.16666666666667,73.26666666666668,0.11716666666666667,[False False False ... False False False],49-961,LA4936,40.0,30.1,73.26666666666668
