z_l1,z_l2,z_fiber,coupling,accepted,lens1,lens2,f1_mm,f2_mm,total_len_mm
9.7,162.7,216.7,0.3308333333333333,[ True False False ...  True  True False],36-681,36-688,22.0,54.0,216.7
9.7,189.7,249.7,0.3298333333333333,[False False False ... False False  True],36-681,49-963,22.0,60.0,249.7
9.7,189.7,249.7,0.327,[ True False  True ...  True  True False],36-681,LA4042,22.0,60.0,249.7
9.7,122.19999999999999,167.2,0.32266666666666666,[ True  True False ... False False False],36-681,84-279,22.0,45.0,167.2
9.7,189.7,249.7,0.31416666666666665,[False False  True ... False False False],36-681,84-280,22.0,60.0,249.7
9.7,54.85,84.95,0.3135,[False False False ... False False  True],36-681,LA4966,22.0,30.1,84.95
9.7,59.86666666666667,89.96666666666667,0.313,[False  True  True ... False False False],36-681,LA4936,22.0,30.1,89.96666666666667
9.7,59.7,89.7,0.30383333333333334,[False False  True ... False False False],36-681,48-025,22.0,30.0,89.7
8.258333333333333,123.7,161.7,0.30383333333333334,[ True  True False ... False False False],45-694,48-273,18.0,38.0,161.7
9.7,59.7,89.7,0.2956666666666667,[ True False False ... False False False],36-681,84-278,22.0,30.0,89.7
8.258333333333333,64.7,94.7,0.28633333333333333,[ True False False ...  True False False],45-694,49-959,18.0,30.0,94.7
8.258333333333333,44.7,74.7,0.2861666666666667,[ True  True False ...  True  True  True],45-694,84-278,18.0,30.0,74.7
8.258333333333333,44.7,74.7,0.28,[ True False False ...  True False False],45-694,48-025,18.0,30.0,74.7
8.258333333333333,55.53333333333333,80.53333333333333,0.28,[ True False False ... False  True False],45-694,84-277,18.0,25.0,80.53333333333333
8.258333333333333,47.2,72.2,0.2776666666666667,[False  True  True ... False  True False],45-694,LA4002,18.0,25.0,72.2
8.258333333333333,18.03333333333333,43.03333333333333,0.2733333333333333,[False False  True ... False False False],45-694,36-683,18.0,25.0,43.03333333333333
8.258333333333333,44.81666666666666,74.91666666666666,0.27016666666666667,[False False False ...  True False False],45-694,LA4936,18.0,30.1,74.91666666666666
8.258333333333333,39.8,69.9,0.2683333333333333,[ True False  True ... False  True False],45-694,LA4966,18.0,30.1,69.9
8.258333333333333,55.53333333333333,80.53333333333333,0.265,[False False False ... False  True  True],45-694,48-024,18.0,25.0,80.53333333333333
8.258333333333333,13.049999999999999,33.15,0.2645,[ True False False ... False False False],45-694,LA4194,18.0,20.1,33.15
8.258333333333333,13.866666666666665,38.86666666666667,0.263,[ True  True False ... False  True False],45-694,89-414,18.0,25.0,38.86666666666667
6.183333333333332,104.7,134.7,0.25933333333333336,[False False  True ... False False False],45-693,LA4021,13.5,30.0,134.7
9.7,13.049999999999999,33.15,0.25316666666666665,[False False  True ... False  True False],36-681,LA4194,22.0,20.1,33.15
6.183333333333332,88.86666666666667,113.86666666666667,0.25266666666666665,[False False False ... False  True False],45-693,84-277,13.5,25.0,113.86666666666667
8.258333333333333,94.7,124.7,0.25166666666666665,[False False False ... False False False],45-694,LA4021,18.0,30.0,124.7
6.8166666666666655,21.7,39.7,0.245,[False False  True ... False False  True],45-694,45-692,18.0,18.0,39.7
6.183333333333332,130.03333333333333,168.03333333333333,0.245,[False False False ... False False False],45-693,48-273,13.5,38.0,168.03333333333333
6.183333333333332,88.86666666666667,113.86666666666667,0.2425,[False False False ... False False  True],45-693,LA4002,13.5,25.0,113.86666666666667
6.183333333333332,104.7,134.7,0.23983333333333334,[ True False  True ... False False False],45-693,49-959,13.5,30.0,134.7
6.183333333333332,104.7,134.7,0.23933333333333334,[False  True  True ... False  True False],45-693,84-278,13.5,30.0,134.7
6.183333333333332,105.01666666666667,135.11666666666667,0.23833333333333334,[False False False ... False False False],45-693,LA4936,13.5,30.1,135.11666666666667
9.7,38.86666666666666,63.86666666666666,0.236,[False  True  True ... False False False],36-681,36-683,22.0,25.0,63.86666666666666
9.7,59.7,89.7,0.23583333333333334,[ True False False ... False False False],36-681,49-959,22.0,30.0,89.7
9.7,98.36666666666666,136.36666666666667,0.22883333333333333,[False  True False ... False  True  True],36-681,48-273,22.0,38.0,136.36666666666667
8.258333333333333,12.7,30.7,0.2275,[ True False False ...  True False False],45-694,45-694,18.0,18.0,30.7
6.183333333333332,180.7,234.7,0.22633333333333333,[False False False ... False False False],45-693,36-688,13.5,54.0,234.7
6.183333333333332,199.7,259.7,0.225,[False False False ... False  True False],45-693,48-670,13.5,60.0,259.7
8.258333333333333,12.7,30.7,0.22416666666666665,[ True False False ...  True False False],45-694,48-668,18.0,18.0,30.7
6.183333333333332,199.7,259.7,0.22333333333333333,[False  True False ... False False False],45-693,84-283,13.5,60.0,259.7
6.183333333333332,189.7,249.7,0.2215,[False False  True ... False False False],45-693,LA4042,13.5,60.0,249.7
9.7,43.03333333333333,68.03333333333333,0.21766666666666667,[False False False ... False False False],36-681,84-277,22.0,25.0,68.03333333333333
6.183333333333332,199.7,259.7,0.21766666666666667,[False  True  True ... False False False],45-693,49-963,13.5,60.0,259.7
9.7,12.7,30.7,0.21716666666666667,[False False False ... False False False],36-681,45-694,22.0,18.0,30.7
6.183333333333332,199.7,259.7,0.217,[ True  True False ... False False False],45-693,LA4022,13.5,60.0,259.7
6.183333333333332,152.2,197.2,0.21566666666666667,[ True False False ... False False False],45-693,84-279,13.5,45.0,197.2
9.7,43.03333333333333,68.03333333333333,0.21416666666666667,[False False False ...  True False False],36-681,LA4002,22.0,25.0,68.03333333333333
6.183333333333332,189.7,249.7,0.2135,[False False False ... False False  True],45-693,84-280,13.5,60.0,249.7
9.7,19.75,39.85,0.211,[False  True False ... False False False],36-681,LA4647,22.0,20.1,39.85
9.7,12.7,30.7,0.20983333333333334,[False False False ... False False False],36-681,48-668,22.0,18.0,30.7
9.7,43.03333333333333,68.03333333333333,0.20833333333333334,[False  True False ... False False False],36-681,48-024,22.0,25.0,68.03333333333333
9.7,12.7,30.7,0.208,[False False False ... False False False],36-681,45-692,22.0,18.0,30.7
5.374999999999999,11.7,23.7,0.20716666666666667,[ True False False ...  True False False],45-694,70-888,18.0,12.0,23.7
9.7,30.53333333333333,55.53333333333333,0.1995,[False False False ... False False False],36-681,89-414,22.0,25.0,55.53333333333333
6.8166666666666655,11.95,25.45,0.1975,[False False False ... False False False],45-694,45-693,18.0,13.5,25.45
9.7,73.35000000000001,93.45000000000002,0.18466666666666667,[False False False ... False False False],45-694,LA4647,18.0,20.1,93.45000000000002
