z_l1,z_l2,coupling,lens1,lens2,f1_mm,f2_mm,total_len_mm
3.3500000000000005,9.05,0.0675,LA4194,LA4026,20.1,6.0,15.05
3.3500000000000005,11.05,0.0565,LA4647,LA4026,20.1,6.0,17.05
3.3500000000000005,9.383333333333335,0.024833333333333332,LA4194,LA4024,20.1,4.0,13.383333333333335
3.3500000000000005,12.05,0.017333333333333333,LA4647,LA4024,20.1,4.0,16.05
