lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
49-963,45-695,60.0,27.0,25.181892831623934,29.269090263034663,56.26909026303466,56.26909026303466,0.0525,SfccfF
49-963,36-685,60.0,84.0,38.055727959296725,42.182669713421056,126.18266971342106,126.18266971342106,0.052,SfccfF
49-963,LA4001,60.0,15.0,16.608540817897328,24.874655867052077,39.87465586705208,39.87465586705208,0.0505,SfccfF
49-960,36-680,35.0,36.0,16.32193438633695,22.358529300379224,58.358529300379224,58.358529300379224,0.0495,SfccfF
49-960,LA4280,35.0,10.0,9.748743818694736,15.382873362197143,25.382873362197145,25.382873362197145,0.046,SfccfF
49-963,70-886,60.0,8.0,9.81264837313945,13.837372466524847,21.837372466524847,21.837372466524847,0.0415,SfccfF
49-963,70-888,60.0,12.0,10.659077334033553,14.782632826269356,26.782632826269356,26.782632826269356,0.0395,SfccfF
49-963,LA4280,60.0,10.0,9.704692822182366,19.086658797026356,29.086658797026356,29.086658797026356,0.0385,SfccfF
49-963,48-667,60.0,36.0,28.396917022196693,32.420133228077056,68.42013322807705,68.42013322807705,0.0325,SfccfF
49-963,LA4039,60.0,9.0,9.825999262823961,13.827381119272287,22.82738111927229,22.82738111927229,0.0315,SfccfF
49-963,LA4249,60.0,10.0,9.939011329770077,25.19011778924203,35.19011778924203,35.19011778924203,0.0255,SfccfF
49-963,LA4966,60.0,30.1,25.56354106748916,29.609369960110907,59.709369960110905,59.709369960110905,0.0235,SfccfF
49-963,45-690,60.0,9.0,9.702698347307907,23.73876641316716,32.738766413167156,32.738766413167156,0.0215,SfccfF
49-964,LA4036,80.0,6.0,9.931286824976404,13.455278649405905,19.455278649405905,19.455278649405905,0.0205,SfccfF
49-964,LA4026,80.0,6.0,9.862974765906282,13.91707669044892,19.91707669044892,19.91707669044892,0.019,SfccfF
49-964,70-884,80.0,6.0,9.70619845555225,14.524232380074881,20.52423238007488,20.52423238007488,0.018,SfccfF
49-963,89-412,60.0,15.0,10.104957636514476,14.2778468399771,29.2778468399771,29.2778468399771,0.014,SfccfF
49-963,48-664,60.0,15.0,9.72080881819976,13.929012695379033,28.929012695379033,28.929012695379033,0.0125,SfccfF
49-963,LA4002,60.0,25.0,49.381966025156,53.38891148969507,78.38891148969506,78.38891148969506,0.0095,SfccfF
49-963,70-882,60.0,4.0,9.704266153466971,13.925995575606784,17.925995575606784,17.925995575606784,0.0085,SfccfF
49-963,45-692,60.0,18.0,9.807213745766873,13.807295014792539,31.807295014792537,31.807295014792537,0.0085,SfccfF
49-964,70-883,80.0,6.0,9.783654010469652,14.83775590023754,20.83775590023754,20.83775590023754,0.008,SfccfF
49-963,LA4194,60.0,20.1,16.006672592646503,20.066960729465865,40.16696072946587,40.16696072946587,0.008,SfccfF
49-963,89-413,60.0,20.0,9.753380080516425,17.340544905927768,37.34054490592777,37.34054490592777,0.0065,SfccfF
49-963,LA4024,60.0,4.0,9.816390139620882,13.84103863291722,17.84103863291722,17.84103863291722,0.006,SfccfF
49-963,LA4647,60.0,20.1,9.751599022476992,14.061169689647132,34.16116968964713,34.16116968964713,0.006,SfccfF
49-963,LA4917,60.0,15.1,49.0,53.17572791859348,68.27572791859347,68.27572791859347,0.0055,SfccfF
49-963,48-665,60.0,24.0,9.761418870972877,14.085585243742617,38.085585243742614,38.085585243742614,0.004,SfccfF
49-963,84-277,60.0,25.0,9.704147909434411,13.81867529627248,38.81867529627248,38.81867529627248,0.0035,SfccfF
49-963,36-679,60.0,21.0,9.717150547475741,14.140530239748706,35.140530239748706,35.140530239748706,0.0025,SfccfF
49-963,LA4936,60.0,30.1,10.596294001722926,14.667511356029262,44.76751135602926,44.76751135602926,0.0025,SfccfF
49-964,70-885,80.0,9.0,65.0,68.70983000960874,77.70983000960874,77.70983000960874,0.0025,SfccfF
49-963,48-027,60.0,50.0,49.0,53.07874772366171,103.0787477236617,103.0787477236617,0.0025,SfccfF
49-963,89-414,60.0,25.0,9.850108695220403,13.981665923766741,38.98166592376674,38.98166592376674,0.002,SfccfF
49-960,36-685,35.0,84.0,29.0,34.50185158858284,118.50185158858284,118.50185158858284,0.002,SfccfF
49-963,48-025,60.0,30.0,9.798459516290784,13.867711157438094,43.867711157438094,43.867711157438094,0.0015,SfccfF
49-963,48-026,60.0,40.0,10.403037872202532,14.403075104156319,54.403075104156315,54.403075104156315,0.0015,SfccfF
49-963,70-884,60.0,6.0,49.0,53.34589803476474,59.34589803476474,59.34589803476474,0.0015,SfccfF
49-963,70-885,60.0,9.0,49.0,53.19173639234893,62.19173639234893,62.19173639234893,0.0015,SfccfF
49-963,LA4042,60.0,60.0,49.0,53.10805863791493,113.10805863791492,113.10805863791492,0.0015,SfccfF
49-963,36-680,60.0,36.0,9.840946091005254,14.099048761472806,50.09904876147281,50.09904876147281,0.001,SfccfF
49-963,LA4036,60.0,6.0,49.0,53.34589803476474,59.34589803476474,59.34589803476474,0.001,SfccfF
49-960,84-281,35.0,75.0,29.381966025156,35.23369757267813,110.23369757267812,110.23369757267812,0.001,SfccfF
49-963,70-883,60.0,6.0,49.0,53.34589803476474,59.34589803476474,59.34589803476474,0.0005,SfccfF
49-964,70-882,80.0,4.0,65.0,68.56393203476473,72.56393203476473,72.56393203476473,0.0005,SfccfF
49-963,LA4026,60.0,6.0,49.0,53.34589803476474,59.34589803476474,59.34589803476474,0.0,SfccfF
49-964,LA4024,80.0,4.0,65.0,68.56393203476473,72.56393203476473,72.56393203476473,0.0,SfccfF
