lens1,lens2,coupling,z_l1,z_l2,z_fiber,total_length,spot_radius,output_angle,f1_eff,f2_eff,size_match,angle_match,method
36-680,48-665,0.3404912753089279,37.0,97.5,138.5,138.5,0.5846018323325186,11.950510003398652,30.02597949979891,20.005195305741246,0.9878559190913166,0.9698512383798648,paraxial
36-687,LA4043,0.3403305892539227,57.0,79.5,284.825,284.825,0.3923908363522748,12.35581036878028,30.02597949979891,104.20888100172485,0.9710603168699368,0.9861603156010814,paraxial
84-284,LA4917,0.34021331760382056,47.0,97.0,123.73750000000001,123.73750000000001,0.39904685541498974,12.250505513421214,75.03766893771672,12.548713419055874,0.9748889394529777,0.9819489494738683,paraxial
22-840,84-882,0.3399474554003242,67.0,76.9375,95.4375,95.4375,0.4121682717114932,12.869813880776842,5.119114862415079,7.881593215364748,0.9815144314475753,0.9745583529540025,paraxial
23-811,84-882,0.3399474554003242,67.0,76.9375,95.4375,95.4375,0.4121682717114932,12.869813880776842,5.119114862415079,7.881593215364748,0.9815144314475753,0.9745583529540025,paraxial
72-492,84-882,0.3399474554003242,67.0,76.9375,95.4375,95.4375,0.4121682717114932,12.869813880776842,5.119114862415079,7.881593215364748,0.9815144314475753,0.9745583529540025,paraxial
72-512,84-882,0.3399474554003242,67.0,76.9375,95.4375,95.4375,0.4121682717114932,12.869813880776842,5.119114862415079,7.881593215364748,0.9815144314475753,0.9745583529540025,paraxial
36-680,84-281,0.3397082964991925,57.0,90.5,243.5,243.5,0.5220166725014508,11.630018682081001,30.02597949979891,62.54351514222195,0.9990719952532338,0.9567580191267265,paraxial
48-667,84-281,0.3397082964991925,57.0,90.5,243.5,243.5,0.5220166725014508,11.630018682081001,30.02597949979891,62.54351514222195,0.9990719952532338,0.9567580191267265,paraxial
36-684,45-695,0.33957020703318835,27.0,173.5,229.5,229.5,0.6696639084946985,12.632610504039867,60.03377245841078,22.514937989552422,0.9582169848386565,0.9971453256972096,paraxial
36-683,49-964,0.3390624285414547,37.0,52.5,215.5,215.5,0.6614788259956077,12.506565469446235,20.841776200344974,66.70823307405354,0.9615934049686399,0.9921582208993609,paraxial
48-028,48-665,0.3388460707358716,37.0,201.94,251.94,251.94,0.5419921976476338,11.624946536665778,83.38529134256693,20.005195305741246,0.9967535933653673,0.9565493631839799,paraxial
49-960,LA4026,0.3388167361062887,27.0,49.5,55.75,55.75,0.5844595239958901,11.832353649814436,29.189398605195183,5.092231532370499,0.9878934863195913,0.9650448013861208,paraxial
48-274,LA4026,0.33877721285934315,37.0,67.84,74.09,74.09,0.5297928165005281,11.583635435071445,41.68355240068995,5.092231532370499,0.9983264751280061,0.9548482251609683,paraxial
