displacement_mm,coupling,coupling_drop
-1.0,0.1105,0.3305
-0.9,0.133,0.308
-0.8,0.154,0.28700000000000003
-0.7,0.179,0.262
-0.6,0.2025,0.2385
-0.5,0.217,0.224
-0.3999999999999999,0.243,0.198
-0.29999999999999993,0.271,0.16999999999999998
-0.19999999999999996,0.3015,0.1395
-0.09999999999999998,0.3405,0.10049999999999998
0.0,0.441,0.0
0.10000000000000009,0.432,0.009000000000000008
0.20000000000000018,0.424,0.017000000000000015
0.30000000000000004,0.4145,0.026500000000000024
0.40000000000000013,0.4005,0.04049999999999998
0.5,0.384,0.056999999999999995
0.6000000000000001,0.3655,0.07550000000000001
0.7000000000000002,0.346,0.09500000000000003
0.8,0.333,0.10799999999999998
0.9000000000000001,0.318,0.123
1.0,0.305,0.136
