displacement_mm,coupling,coupling_drop
-1.0,0.0584,0.314
-0.95,0.0672,0.3052
-0.9,0.0764,0.29600000000000004
-0.85,0.0852,0.2872
-0.8,0.0952,0.2772
-0.75,0.106,0.2664
-0.7,0.1146,0.25780000000000003
-0.6499999999999999,0.1238,0.24860000000000002
-0.6,0.1314,0.24100000000000002
-0.55,0.1398,0.2326
-0.5,0.153,0.2194
-0.44999999999999996,0.1676,0.2048
-0.3999999999999999,0.1802,0.1922
-0.35,0.1932,0.1792
-0.29999999999999993,0.2068,0.1656
-0.25,0.2206,0.15180000000000002
-0.19999999999999996,0.2382,0.1342
-0.1499999999999999,0.2554,0.11699999999999999
-0.09999999999999998,0.278,0.09439999999999998
-0.04999999999999993,0.3074,0.065
0.0,0.3724,0.0
0.050000000000000044,0.369,0.003400000000000014
0.10000000000000009,0.3654,0.007000000000000006
0.15000000000000013,0.3612,0.011199999999999988
0.20000000000000018,0.3588,0.013600000000000001
0.25,0.3554,0.017000000000000015
0.30000000000000004,0.353,0.01940000000000003
0.3500000000000001,0.3502,0.022199999999999998
0.40000000000000013,0.3476,0.02479999999999999
0.4500000000000002,0.3452,0.027200000000000002
0.5,0.342,0.030399999999999983
0.55,0.3346,0.0378
0.6000000000000001,0.3256,0.04680000000000001
0.6500000000000001,0.3186,0.053800000000000014
0.7000000000000002,0.3126,0.05980000000000002
0.75,0.305,0.06740000000000002
0.8,0.2966,0.07580000000000003
0.8500000000000001,0.289,0.08340000000000003
0.9000000000000001,0.2804,0.09200000000000003
0.9500000000000002,0.2734,0.09900000000000003
1.0,0.2668,0.10560000000000003
