displacement_mm,coupling,coupling_drop
-1.0,0.124,0.34
-0.95,0.1338,0.33020000000000005
-0.9,0.1452,0.31880000000000003
-0.85,0.1562,0.3078
-0.8,0.164,0.30000000000000004
-0.75,0.174,0.29000000000000004
-0.7,0.1888,0.2752
-0.6499999999999999,0.1978,0.2662
-0.6,0.2078,0.2562
-0.55,0.2182,0.24580000000000002
-0.5,0.2312,0.23280000000000003
-0.44999999999999996,0.2442,0.21980000000000002
-0.3999999999999999,0.2576,0.20640000000000003
-0.35,0.2692,0.19480000000000003
-0.29999999999999993,0.2818,0.18220000000000003
-0.25,0.293,0.17100000000000004
-0.19999999999999996,0.3084,0.15560000000000002
-0.1499999999999999,0.3304,0.1336
-0.09999999999999998,0.3544,0.10960000000000003
-0.04999999999999993,0.3836,0.08040000000000003
0.0,0.464,0.0
0.050000000000000044,0.4604,0.0036000000000000476
0.10000000000000009,0.4562,0.007800000000000029
0.15000000000000013,0.4516,0.012400000000000022
0.20000000000000018,0.4478,0.016200000000000048
0.25,0.4396,0.024400000000000033
0.30000000000000004,0.43,0.03400000000000003
0.3500000000000001,0.42,0.04400000000000004
0.40000000000000013,0.4102,0.053800000000000014
0.4500000000000002,0.3998,0.06420000000000003
0.5,0.393,0.07100000000000001
0.55,0.3818,0.08220000000000005
0.6000000000000001,0.3708,0.0932
0.6500000000000001,0.363,0.10100000000000003
0.7000000000000002,0.3546,0.1094
0.75,0.3466,0.1174
0.8,0.3402,0.12380000000000002
0.8500000000000001,0.3322,0.13180000000000003
0.9000000000000001,0.3238,0.14020000000000005
0.9500000000000002,0.3138,0.1502
1.0,0.305,0.15900000000000003
