lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
84-283,49-963,60.0,60.0,35.715658074242675,41.13435320988434,101.13435320988434,101.13435320988434,0.151
84-283,84-283,60.0,60.0,36.003119349783375,41.52528074156677,101.52528074156677,101.52528074156677,0.147
84-283,LA4464,60.0,60.2,38.219440506268846,44.11008194708698,104.31008194708699,104.31008194708699,0.136
84-283,36-688,60.0,54.0,34.9564788257116,40.51822661443401,94.51822661443401,94.51822661443401,0.1345
84-283,LA4022,60.0,60.0,35.92957474990165,41.34793122558647,101.34793122558648,101.34793122558648,0.1305
84-283,48-273,60.0,38.0,32.11996358540812,38.072429918737754,76.07242991873775,76.07242991873775,0.121
84-283,49-959,60.0,30.0,29.165022129394888,35.00082835492312,65.00082835492313,65.00082835492313,0.095
84-283,84-280,60.0,60.0,35.675391445774785,42.145153566453494,102.1451535664535,102.1451535664535,0.084
84-283,84-285,60.0,120.0,40.48516177803234,45.97454027291612,165.97454027291613,165.97454027291613,0.084
84-283,LA4034,60.0,175.0,49.10081305717239,49.20619852443101,224.20619852443102,224.20619852443102,0.084
84-283,48-279,60.0,175.0,42.03248894374684,47.77711983937355,222.77711983937354,222.77711983937354,0.0725
84-283,48-668,60.0,18.0,20.402068018411473,26.26016630306838,44.26016630306838,44.26016630306838,0.0635
84-283,LA4005,60.0,175.0,42.480980869574466,47.90144632892858,222.90144632892859,222.90144632892859,0.048
84-283,48-670,60.0,60.0,9.724486512343578,10.094851216613577,70.09485121661358,70.09485121661358,0.011
84-283,LA4936,60.0,30.1,9.700249379911636,10.126557522048804,40.22655752204881,40.22655752204881,0.008
84-283,LA4002,60.0,25.0,9.793589359621462,9.896898601992888,34.89689860199289,34.89689860199289,0.0055
84-283,84-279,60.0,45.0,9.796315513130992,10.282342306820404,55.282342306820404,55.282342306820404,0.0055
84-283,84-278,60.0,30.0,9.89667391999538,14.68238767119435,44.68238767119435,44.68238767119435,0.0045
84-283,48-025,60.0,30.0,9.783188929809837,10.433746977901851,40.43374697790185,40.43374697790185,0.004
84-283,LA4042,60.0,60.0,9.800743222641708,10.649821655423292,70.6498216554233,70.6498216554233,0.0025
84-283,84-277,60.0,25.0,9.756256402147017,10.663322913168157,35.66332291316816,35.66332291316816,0.002
84-283,48-024,60.0,25.0,9.804768129344177,9.922627130914439,34.922627130914435,34.922627130914435,0.0015
84-283,LA4647,60.0,20.1,9.73450857800965,10.322807201062554,30.422807201062554,30.422807201062554,0.0005
84-283,LA4021,60.0,30.0,9.72057854450579,12.695802862875437,42.69580286287544,42.69580286287544,0.0
